标题,行政区,地标,具体位置,地址,建筑面积/平方米,总价(万),每平方米价格(元),等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
海珠区盈中路首层大型社区底商~100方~收租神器,海珠,南洲,社区底商?1层,盈中路,100.0,300.0,22300.0,"""道路""",113.30813970080736,23.07688504808684,113.31465130598292,23.0829218409683
骏壹万邦广场 首层星巴克 即买即收 产权清晰 29万买断过户,花都,新区,购物百货中心?1层,骏壹万邦广场,25.0,29.8,30000.0,"""购物""",113.23396185385379,23.4114786296754,113.24052521713604,23.417228018233698
（产权过户!）萝岗万达 临街产权旺铺带（茶百道）租约2w1,黄埔,萝岗,购物百货中心?1层,萝岗万达金街,25.0,42.8,39800.0,"""道路""",113.3550931865776,23.01310631588819,113.36162242424321,23.01886310283408
南岗万金街产权铺位！业主亏钱急售 总价32万！可以自经营,黄埔,开发西区,商业街店铺?1层,南岗万达广场,25.0,32.88,59000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(万达金街现铺)南岗万达开发商直售 内部价38万 随时可看!,黄埔,南岗,商业街店铺?1层,南岗万达广场,25.0,38.0,16400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
捡漏！天河又一城（临街商铺 卖断带租约）总价包含全部费用,天河,燕塘,商业街店铺?1层,天河又一城,25.0,89.9,23500.0,"""购物""",113.32803195767484,23.138595338393356,113.334570539586,23.144316348952154
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)38万买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,38.0,16700.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,530.0,17500.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
（业主急售）萝岗万达临街餐饮铺 可明火！带租约,黄埔,萝岗,购物百货中心?1层,萝岗万达广场(商业),30.0,13.8,117500.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
笋！融创茂喜茶 业主急售！网红打卡点 一口价16万买断带租约,黄埔,南岗,购物百货中心?1层,南岗万达广场,35.0,16.0,14400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
（广州南站!三地铁，双门面）不动产权证可过户 价6万人流量大,番禺,市桥北,商业街店铺?1层,广州南站(商业),20.0,6.0,13200.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
东山口地铁旁(肯德基)临街旺铺 双门面转角位置靓 带租2万5,越秀,农林下路,临街门面?1层,东山锦轩商铺,40.0,120.0,10500.0,"""地产小区""",113.30268501009147,23.13150108638187,113.30913954088548,23.137624127185945
业主低价卖铺回老家 东圃大马路笋铺产权包过户 ！！,天河,东圃,临街门面?1层,东圃大马路商铺,24.0,16.0,12900.0,"""道路""",113.30606317779119,23.33781002161884,113.31255108903767,23.343880056024419
(捡漏)白云万达(星巴克)现经营中 带租约出售包过户,白云,白云万达,购物百货中心?1层,白云万达广场(商业),42.0,8.8,2095.24,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
网红店！广州沙面岛（星巴克丨产权 总价199w）带租4万,荔湾,沙面,商业街店铺?1层,沙面大街商铺,50.0,199.0,38300.0,"""道路""",113.24801737067212,23.113193092291199,113.25451207039406,23.119155338421377
增城东汇城街铺 现经营益禾堂 月租12500 剩两年多租约！,增城,荔城中区,商业街店铺?1层,增城东汇城,24.0,12.8,80600.0,"""购物""",113.82524486575835,23.28981986298967,113.83182175315649,23.295493154568367
（捡漏）北京路 独栋两层商铺出售（coco经营中)带租2万5,越秀,北京路,商业街店铺?1层,北京路步行街,20.0,118.0,18500.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
(捡漏巨笋旺铺)岗顶站a出口 市中心人流密集地 月稳收1万4,天河,岗顶,购物百货中心?1层,天娱广场(商业),10.0,6.8,11900.0,"""购物""",113.34650462234538,23.14122912447145,113.35305375274989,23.146905287607784
(首付五成买断 万达旺铺)业主急售 租金稳定 带租(星巴克),黄埔,南岗,购物百货中心?1层,南岗万达广场,25.0,41.0,23400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
买它！现租2万（客村地铁口.星巴克旺铺）58.8万包红本过户,海珠,客村,临街门面?1层,珠影星光城,25.0,58.8,15000.0,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
真实买断产权过户!南岗万达金街靓铺 现已出租 即买即收,黄埔,南岗,商业街店铺?1层,南岗万达广场,30.0,50.0,230800.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(同学委托出售越秀老神铺)区庄地铁口 即买即收 租金稳定,越秀,公园前,临街门面?1层,区庄社区商铺,20.0,35.0,94600.0,"""村庄""",113.30172975201248,23.14206073932223,113.30818480281649,23.148200140628267
（业主直售）东圃大马路（一点点）人流聚集地 带租约 买断产权,天河,长湴,社区底商?1层,东圃大马路商铺,20.0,235.0,36000.0,"""道路""",113.30606317779119,23.33781002161884,113.31255108903767,23.343880056024419
天河区临街超笋铺(益禾堂)一口价26万买断产权过户月租1万4,天河,东圃,商业街店铺?1层,东圃大马路商铺,18.0,26.0,12700.0,"""道路""",113.30606317779119,23.33781002161884,113.31255108903767,23.343880056024419
萝岗万达！临街产权旺铺带（一点点）租约12万8买断独立红本,黄埔,萝岗,购物百货中心?1层,萝岗万达广场(商业),18.0,12.8,22300.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
新塘万达广场！（书亦）捡漏价一口价10万 真实在售 手慢无！,增城,荔城富鹏,临街门面?1层,新塘万达广场,17.0,10.0,39700.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
（39.6万总价，包含所有费用）南沙万达KFC旺铺.业主急售,南沙,金洲,临街门面?1层,南沙万达广场(商业),30.0,39.6,60000.0,"""购物""",113.5388069489055,22.80086053063865,113.54526999926661,22.80704909903823
海珠客村地铁口!独立产权街铺出售 稳定收租一万八！真实在售,海珠,滨江西,临街门面?1层,珠影星光城,23.0,14.6,39700.0,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
(乐峰广场 肯德基)地铁口旺铺 业主带租急售 36.9万买断,海珠,沙园,购物百货中心?1层,工业大道161号,35.0,36.8,14000.0,"""门址""",113.18890177461917,23.37492825883024,113.19537880623743,23.380943863238707
(老师急售)五号停机坪星巴克旺铺 25.2万买断过户 带租约,白云,新市,购物百货中心?1层,五号停机坪购物广场,30.0,25.2,12500.0,"""购物""",113.27170963950666,23.18721888916773,113.27816591513683,23.193531157024557
（一口价38.8万买断过户）超大门面，新塘万达广场临街旺铺,增城,荔城中区,购物百货中心?1层,增城大道,30.0,38.8,34800.0,"""道路""",113.8101429128518,23.284096909865057,113.81670783701975,23.28980080656976
急售 （一口价78万全包）花都融创茂 喜茶店 .旺铺带租约,花都,新区,购物百货中心?1层,融创茂,30.0,78.0,46000.0,"""购物""",113.23968666503643,23.432490310321727,113.24624222650445,23.438319665274109
业主移民，急需套现，签证已下，含泪血亏抛售。,番禺,万博,商业街店铺?1层,番禺万达广场(商业),261.0,1000.0,11100.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
笋!淘金路商业中心地段临街产权铺(一点点)12万买断包过户,越秀,淘金,商业街店铺?1层,建设六马路商铺,18.0,12.8,29400.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
(老师急售)五号停机坪星巴克旺铺 25万买断过户 带租约,白云,新市,购物百货中心?1层,五号停机坪购物广场,30.0,25.0,97400.0,"""购物""",113.27170963950666,23.18721888916773,113.27816591513683,23.193531157024557
(急售)年租金240万 越秀区省中医旁一线临街首层铺连锁租户,越秀,解放南,社区底商?1层,大德路商铺,360.0,2900.0,19600.0,"""道路""",113.26532306641774,23.12400978168437,113.27175455022157,23.130250277923407
江南西 一线临街餐饮铺1300方 单价1.8万 50米展示面,海珠,江南西,临街门面?1-2层,江南西路商铺,1298.0,2400.0,19700.0,"""道路""",113.27712660139113,23.10100655381085,113.2835570484255,23.10734233568354
业主急售！市中心临街靓铺 现经营(桃园三章)18万产权包过户,天河,体育西路,商业街店铺?1层,天河南一路商铺,15.0,17.8,10300.0,"""道路""",113.33015986376619,23.136141372324326,113.3367016697989,23.1418417239273
（一口价82万买断过户)美林天地首层旺铺 带租(星巴克),天河,体育西路,购物百货中心?1层,黄埔大道663号,35.0,82.0,39500.0,"""门址""",113.37290833653033,22.946750337634584,113.37941721342713,22.952805841230519
（开年特价 价格好谈！）锐心临街门面 带租(书亦烧仙草),黄埔,开发西区,商业街店铺?1层,锐丰中心商铺,20.0,30.0,118000.0,"""NoClass""",113.50789158512872,23.179792117185128,113.51435242180789,23.18606990949804
(老师急售)五号停机坪星巴克旺铺 25万买断过户 带租约,白云,新市,购物百货中心?1层,五号停机坪购物广场,30.0,25.0,35300.0,"""购物""",113.27170963950666,23.18721888916773,113.27816591513683,23.193531157024557
体育西路地铁口旁39方连锁小吃店月租40800卖900万,天河,体育中心,临街门面?1层,体育西路商铺,39.0,900.0,11900.0,"""道路""",113.20568472352839,23.486919609677448,113.21221697157691,23.492667000471657
越秀德政路 农讲所地铁口旁 临街铺 年收租50万售1000万,越秀,农讲所,临街门面?1层,德政中路商铺,105.66,1000.0,10000.0,"""道路""",113.2818257273428,23.129749814167849,113.28823706038352,23.136084107168146
捡漏！天河又一城（临街商铺 卖断带租约）总价包含全部费用,天河,燕塘,商业街店铺?1层,天河又一城,25.0,89.9,11500.0,"""购物""",113.32803195767484,23.138595338393356,113.334570539586,23.144316348952154
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)38万买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,38.0,17100.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,530.0,25000.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
(买断.一口价10.8万)嘉裕太阳城 首层星巴克 即买即收!,白云,嘉禾望岗,购物百货中心?1层,嘉裕太阳城广场,30.0,10.8,3600.0,"""购物""",113.33277168703559,23.193582012784085,113.3393555933826,23.199270015695473
（捡漏 11万买小商铺）花都星缘街一点点奶茶店 带租转卖,花都,旧区,商业街店铺?1层,星缘美居商铺,20.0,11.0,12700.0,"""地产小区""",113.23785403196614,23.402867983232978,113.2443986624316,23.408666815423737
(买断.一口价10.8万)嘉裕太阳城 首层星巴克 即买即收!,白云,嘉禾望岗,购物百货中心?1层,嘉裕太阳城广场,30.0,10.8,13100.0,"""购物""",113.33277168703559,23.193582012784085,113.3393555933826,23.199270015695473
北京路步行街铺位 卖断 总价20.8万 商家经营中 来电咨询,越秀,公园前,商业街店铺?1层,北京路步行街,35.0,20.8,11600.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
番禺缤纷汇（喜茶）铺位 月稳收1万6 独立红本包过户！,番禺,金山谷,商业街店铺?1层,祈福缤纷汇,35.0,8.0,15000.0,"""地产小区""",113.33867903389779,22.97512038834548,113.34525274770316,22.98078218935426
(买断.一口价10.8万)嘉裕太阳城 首层星巴克 即买即收!,白云,嘉禾望岗,购物百货中心?1层,嘉裕太阳城广场,30.0,10.8,3600.0,"""购物""",113.33277168703559,23.193582012784085,113.3393555933826,23.199270015695473
（产权清晰）锐心临街旺铺 可明火带租（沪上阿姨）买断,黄埔,香雪,商业街店铺?1层,锐丰中心商铺,20.0,28.0,11900.0,"""NoClass""",113.50789158512872,23.179792117185128,113.51435242180789,23.18606990949804
(律师已公证!)新塘万达金街旺铺 业主急售 带租(益和堂),增城,荔城中区,购物百货中心?1层,新塘万达广场,30.0,15.8,20000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
海珠.沙园（乐峰广场 奶茶店）15.8万即过户 业主带租急售,海珠,沙园,购物百货中心?1层,乐峰广场,25.0,15.8,22800.0,"""商圈""",113.26662307438864,23.094223443655879,113.27307593956454,23.100484436332704
(政府人员出售!)区庄地铁口临街旺铺 带租(老上海混沌),越秀,五羊新城,临街门面?1层,区庄社区商铺,42.0,52.8,121100.0,"""村庄""",113.30172975201248,23.14206073932223,113.30818480281649,23.148200140628267
6号线香雪地铁口 超5千户大型社区 主入口临街旺铺出售,黄埔,香雪,社区底商?1层,品秀星樾开创大道商铺,37.39,130.0,107200.0,"""地产小区""",113.47252493789039,23.175678032771665,113.47909438094678,23.18141116067579
笋（业主急售！）萝岗万达广场星巴克 买断产权过户,黄埔,香雪,购物百货中心?1层,萝岗万达广场(商业),30.0,15.8,11100.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
（买断产权）白云嘉欲太阳城 星巴克带租15000,白云,京溪,购物百货中心?1层,嘉裕太阳城广场,20.0,15.0,7500.0,"""购物""",113.33277168703559,23.193582012784085,113.3393555933826,23.199270015695473
（笋）来电咨询免中介费 金铂天地喜茶买断包过户！,白云,京溪,购物百货中心?1层,金铂天地,20.0,79.0,22300.0,"""购物""",113.28758413515154,23.24517926291577,113.29400085466432,23.251488786429556
"一口价27.8万包过户（稳定投姿）产权清晰,天环广场一楼旺铺",天河,体育西路,购物百货中心?1层,天环广场,25.0,27.8,48300.0,"""购物""",113.33120082019079,23.138038782174026,113.33774511072771,23.143730587868583
35.8万买断产权（政府人员放盘）南岗万达网红喜茶铺位带租约,黄埔,南岗,购物百货中心?1层,南岗万达广场,38.0,35.8,12300.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
全网蕞笋（广州国际机场）T2航站楼 星巴克 总价58.8万,花都,花东,商业街店铺?1层,机场国际公寓商铺,20.0,58.8,10000.0,"""地产小区""",113.32310331466543,23.44093239843705,113.32966432835829,23.446720428147179
（新年捡漏）百信广场临街靓门面 咕噜咕噜 月租14500 笋,白云,新市,购物百货中心?1层,百信广场(商业),20.0,14.6,20900.0,"""商圈""",113.26790854957298,23.200373159174715,113.27436921087302,23.206650542259287
(政府人员放盘)区庄地铁口 老上海混沌产权街铺 35.8万,越秀,五羊新城,社区底商?1层,区庄村商铺,35.0,35.8,12000.0,"""地产小区""",113.30206077759279,23.141852462246474,113.30851680001395,23.147986469652069
证件齐全！花都融创茂 喜茶 店铺出售 总价58.8万,花都,新区,商业街店铺?1层,融创茂,30.0,58.8,282900.0,"""购物""",113.23968666503643,23.432490310321727,113.24624222650445,23.438319665274109
（证件齐全）市中心旺铺 万菱汇喜茶 买断过户带租约,天河,长湴,购物百货中心?1层,万菱汇商铺,35.0,68.8,11000.0,"""NoClass""",113.33676510417887,23.138364624149206,113.34331577918144,23.14402585647446
番禺万达产权靓铺  租金稳定收一万八 随时可看买断,番禺,万博,购物百货中心?1层,番禺万达广场(商业),35.0,28.8,199200.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
（总价30.8万买断产权包过户）南岗万达喜茶笋铺！带租1万8,黄埔,南岗,购物百货中心?1层,南岗万达广场,30.0,30.8,11000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(业主急售 一次性买断)白云万达首层靓铺 带租(茶理宜世),白云,白云万达,购物百货中心?1层,白云万达广场(商业),35.0,25.88,148600.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
（房产证无抵押）永旺梦乐城主通道显眼位置奶茶店出售 收租无忧,番禺,番禺广场,购物百货中心?1层,永旺梦乐城(番禺)商铺,25.0,19.0,11600.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
海珠赤岗北 大型社区 一线临街商铺 急售 年收租60万超5厘,海珠,赤岗,临街门面?1层,泓景花园商铺,100.0,1180.0,16400.0,"""地产小区""",113.33464914555082,23.103905350968359,113.34121177482889,23.109577793024014
25万卖断产权当天过户 大沙地临街商铺 带稳定租约月租1W多,黄埔,大沙地,临街门面?1层,大沙地西路商铺,20.0,25.0,22000.0,"""道路""",113.44592126089896,23.106647108414476,113.45246589977652,23.112393767813967
年底急出！越秀中华广场（产权出售丨星巴克 23.8w）租三万,越秀,解放中路,商业街店铺?1层,中华广场(商业),20.0,23.8,29400.0,"""购物""",113.28904495957137,23.13233400852238,113.29546375080584,23.138632496815338
买它!买它!投姿金饭碗 番禺永旺本地业主出售coco铺位!,番禺,万博,购物百货中心?1层,永旺梦乐城(番禺)商铺,30.0,30.0,55600.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
"一口价28.8万包过户（稳定投姿）产权清晰,天环广场一楼旺铺",天河,体育西路,购物百货中心?1层,天环广场,25.0,28.8,13400.0,"""购物""",113.33120082019079,23.138038782174026,113.33774511072771,23.143730587868583
天河商业地标 正佳广场（出入口旺铺 业主周转急抛）稳租1万3,天河,体育西路,临街门面?1层,正佳广场,18.0,12.8,21600.0,"""购物""",113.33363064676394,23.137855755338458,113.34017827404056,23.1435308205651
（产权过户!）萝岗万达 临街产权旺铺带（茶百道）租约2w1,黄埔,萝岗,购物百货中心?1层,萝岗万达金街,25.0,42.8,13200.0,"""道路""",113.3550931865776,23.01310631588819,113.36162242424321,23.01886310283408
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)27.8买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,27.8,20600.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
卖产权！北京路临街旺铺 现租2W 带两年租约 ！笋,越秀,北京路,商业街店铺?1层,北京路步行街,16.0,40.0,14600.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
(真实在售 番禺永旺首层铺位)一次性买断过户 带租星巴克,番禺,番禺广场,购物百货中心?1层,永旺梦乐城(番禺)商铺,35.0,45.8,12300.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)38万买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,38.0,40000.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,530.0,15800.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
无 随时可看！番禺广州南站 （临街商铺 独立红本 带租）,番禺,市桥北,商业街店铺?1层,广州南站(商业),25.0,28.9,19600.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
业主炒股亏被套急出售！万胜围地铁口 临街餐饮旺铺 带租1万6,海珠,滨江西,临街门面?1层,琶洲商业广场(商业),17.0,16.8,10000.0,"""购物""",113.38943437316138,23.107271356614235,113.39586810880813,23.113559301165489
(业主爽快）五号停机坪星巴克旺铺 46.8万买断过户 带租约,白云,新市,购物百货中心?1层,五号停机坪购物广场,36.0,46.8,16800.0,"""购物""",113.27170963950666,23.18721888916773,113.27816591513683,23.193531157024557
（一口价！独立红本包过户）三元里 保利小区一线街铺 低价急出,白云,广园路,临街门面?1层,保利阅云台三元里大道商铺,30.0,146.0,60000.0,"""地产小区""",113.26038209686011,23.18998034968593,113.26686570692255,23.196160104679469
（21.8万总价，包含所有费用）南沙万达喜茶旺铺.业主急售,南沙,金洲,购物百货中心?1层,南沙万达广场(商业),45.0,21.8,27500.0,"""购物""",113.5388069489055,22.80086053063865,113.54526999926661,22.80704909903823
（开年特价 价格肯定好谈！）香雪地铁口 临街门面 带租1万2,黄埔,开发西区,商业街店铺?1层,萝岗奥园广场开创大道商铺,20.0,30.0,48000.0,"""购物""",113.50443472586636,23.17984900948945,113.51090392269592,23.18608600750346
海珠.沙园（乐峰广场 喜茶店）15.8万即过户.业主带租急售,海珠,沙园,购物百货中心?1层,乐峰广场,20.0,15.8,63400.0,"""商圈""",113.26662307438864,23.094223443655879,113.27307593956454,23.100484436332704
(万达金街现铺)南岗万达开发商直售 内部价38万 随时可看!,黄埔,南岗,商业街店铺?1层,南岗万达广场,25.0,38.0,16400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
骏壹万邦广场 首层星巴克 即买即收 产权清晰 29万买断过户,花都,新区,购物百货中心?1层,骏壹万邦广场,25.0,29.8,13100.0,"""购物""",113.23396185385379,23.4114786296754,113.24052521713604,23.417228018233698
