标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
南沙万达中电竞公寓转让,南沙,金洲,商业街店铺?7层,B1公寓(万达广场),600.0,1.6,0.89,"""商圈""",113.27331634874126,23.179887712853295,113.27976793451797,23.18621039620438
金洲裕兴花园旺铺招租,南沙,金洲,临街门面?1层,金洲商业大厦,58.0,7500.0,4.31,"""商务大厦""",113.55432832065454,22.808035986068256,113.56085170437793,22.813961049434459
南沙万达金街商铺转让,南沙,金洲,商业街店铺?1层,万达广场(广州南沙店),89.0,1.8,6.74,"""购物""",113.5380820163592,22.799602004717977,113.54454164177389,22.805800945504477
没时间打理，接手就马上经营，价格到店面议,南沙,东涌,临街门面,优茶味(太石店),60.0,3800.0,2.11,"""餐饮""",113.41437735275705,22.893661487541256,113.42080798508829,22.899905905222899
位置好能外摆，停车方便，带隔楼。价格到店面议,南沙,东涌,商业街店铺,广东省广州市南沙区太南路,70.0,3800.0,1.81,"""道路""",113.40699121536481,22.89112518560221,113.41340752089697,22.89743891485684
出租南沙万顷沙写字楼配套,南沙,万顷沙,写字楼配套?1层,广东医谷,175.0,9625.0,1.83,"""NoClass""",113.53663511567474,22.7333501509579,113.54309788209713,22.739570861291829
房租少。门面开阔，店面正方正。,南沙,南沙,商业街店铺,越秀滨海珺城-南门,120.0,5000.0,1.39,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
南沙区金洲板块，有稳定客源，可整转可空转,南沙,金洲,社区底商?1层,创鸿嘉园-1栋,35.0,2800.0,2.67,"""楼号""",113.54999938640339,22.80432395660503,113.5565037857583,22.81032485158184
已有人气，餐饮街群落，离地铁站社区近，餐饮引流,南沙,金洲,社区底商?1-2层,蓝光林肯公园,103.0,4000.0,1.29,"""地产小区""",113.54801988038224,22.803928252845453,113.55451680496006,22.809964311520039
出租南沙托管运营电商药店设备齐全新过认证做电商,南沙,南沙湾,其他?3层,富力天海湾,152.0,2500.0,0.55,"""地产小区""",113.57038930452323,22.753730089865287,113.57693618884112,22.759429026918764
临港生活超市转让，因本人有事忙其他业务，没时间管理，故转让。,南沙,金洲,社区底商,地铁飞沙角站(广隆苑),200.0,2.2,3.67,"""地产小区""",113.54905554969504,22.786211679809147,113.55553921192075,22.792225917988934
金洲 沙螺湾村三巷11号五金建材店临街门面,南沙,金洲,临街门面,空置中,125.0,3750.0,1.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
可明火，两层，离地铁口1000米，离万达广场1.5公里,南沙,金洲,社区底商,蓝光林肯公园,100.0,7000.0,2.33,"""地产小区""",113.54801988038224,22.803928252845453,113.55451680496006,22.809964311520039
中电竞公寓转让，因工作调整不便管理，现低价转让。,南沙,金洲,购物百货中心?20层,万达广场(广州南沙店),500.0,2.0,1.33,"""购物""",113.5380820163592,22.799602004717977,113.54454164177389,22.805800945504477
出租转让都可以市场内卖什么都可以,南沙,东涌,写字楼配套?1层,鱼窝头农贸市场,150.0,5000.0,1.11,"""NoClass""",113.4642048322597,22.857873823168604,113.47077392830902,22.863542085793115
进港大道一楼300平精装修出租，采光好,南沙,进港大道,商业街店铺?1层,进港大道,300.0,6840.0,0.76,"""道路""",113.51945187873281,22.807424248253708,113.52589091593042,22.813766159423659
经营中餐厅，临街位置好，转让费10万,南沙,金洲,档口摊位?1层,金岭北路,67.0,6400.0,3.18,"""道路""",113.55549899239475,22.78722609596644,113.56200624551809,22.79312691877225
24年老店营业中，不急转，非诚勿扰,南沙,大岗,临街门面?1层,兄弟川菜火锅(南沙店),220.0,6000.0,0.91,"""餐饮""",113.41047951531999,22.809239631448678,113.41693025245705,22.815531751160699
南沙黄阁一楼商铺180平米适合加工 仓库五金电商,南沙,黄阁,商业街店铺?1层,黄阁,180.0,3888.0,0.72,"""乡镇""",113.5221609884889,22.827485550950205,113.52861238125679,22.833827848269107
南沙榄核一楼商铺200平方出租，面积实在,南沙,榄核,商业街店铺?1层,榄核镇,200.0,4200.0,0.7,"""乡镇""",113.34969504419357,22.844618017028688,113.35626907330853,22.850323697894934
南沙东涌一楼220平商铺原房东商铺出租,南沙,东涌,商业街店铺?1层,东涌镇,220.0,4290.0,0.65,"""乡镇""",113.46164806308076,22.889606598360275,113.46819687500296,22.895263525643164
南沙横沥商铺一楼200平方出租，实用面积,南沙,横沥,商业街店铺?1层,横沥镇,200.0,3960.0,0.66,"""乡镇""",113.49297073061293,22.73782859982243,113.49946238771791,22.743881792684105
南沙万顷沙一楼商铺300平出租，高6.5米，水电齐全,南沙,万顷沙,商业街店铺?1层,万顷沙镇,300.0,5940.0,0.66,"""乡镇""",113.55888776009947,22.712161859687979,113.56543782208341,22.71801287956848
南沙东升小面积238平商铺办公室仓库已装修,南沙,东升,商业街店铺?1层,广州东升农场,238.0,4998.0,0.7,"""NoClass""",113.44043971084834,22.803842465516316,113.44697918965855,22.80966635268123
因另有发展，两万元全部转让，可做美发美容,南沙,东涌,商业街店铺?1层,东信园二街19号,100.0,5000.0,1.67,"""门址""",113.46601608565888,22.889401052213754,113.47256177920957,22.895073450115903
南沙东涌中心出租一楼100方可做商铺仓库小加工,南沙,东涌,商业街店铺?1层,东涌镇,100.0,1860.0,0.62,"""乡镇""",113.46164806308076,22.889606598360275,113.46819687500296,22.895263525643164
汽车维修服务商铺。生意转让。,南沙,南沙,临街门面?1层,榄灵路,200.0,4000.0,0.67,"""道路""",113.36979786387252,22.832491811749404,113.37631802852089,22.83849212721611
酒吧宵夜广场小区旁边,南沙,进港大道,商业街店铺?1层,唯一酒吧(进港大道店),98.0,2500.0,0.85,"""餐饮""",113.5642908880791,22.805209226077737,113.57084271811219,22.810978489159415
位置非常好临街 可以过来看,南沙,金洲,商业街店铺,金岭北路,38.0,3600.0,3.16,"""道路""",113.55549899239475,22.78722609596644,113.56200624551809,22.79312691877225
川香烤鱼石锅鱼店旺铺转让！,南沙,东涌,商业街店铺,太石村,180.0,4800.0,0.89,"""村庄""",113.40717464934989,22.887321391917884,113.41359136290326,22.89363397004561
幼儿，小学托管店带生源,南沙,金洲,商业街店铺,越秀滨海新城,60.0,6200.0,3.44,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
转让或出租南沙东涌临街门面,南沙,东涌,临街门面,叫了个炸鸡(太石时代产业园店),40.0,2000.0,1.67,"""NoClass""",113.31408998667294,23.099365076250309,113.32060536510918,23.105292965206734
出租南沙东涌商业街店铺,南沙,东涌,商业街店铺?1-2层,万泰路79号,50.0,2000.0,1.33,"""门址""",113.41040423731829,22.895728897714134,113.41682676319855,22.902016099033223
合伙人拆伙忍痛转让板头旺铺,南沙,金洲,临街门面?1层,板头村,100.0,1.3,4.33,"""村庄""",113.5552109058178,22.794960516155304,113.56172421914218,22.80086769048716
城中村铺面转让、不限制行业、,南沙,金洲,临街门面,板头三街,72.0,7000.0,3.24,"""道路""",113.55687528626614,22.796244489909399,113.56339554604975,22.802123714866395
高端大气养生馆寻有缘人转让,南沙,进港大道,商业街店铺?1-2层,润泽中医养生馆(环港路店),119.0,5000.0,1.4,"""休闲娱乐""",113.58359807856815,22.80505614292136,113.59017041347163,22.81072245135366
营业两年客源稳定，无需装修进场既可营业、7间包间、转让费电议,南沙,东涌,商业街店铺?3层,五味四居(潮粤菜),537.0,1.5,0.93,"""餐饮""",113.46444917135834,22.89123380676197,113.47099642543786,22.896898661125844
托管班美术兴趣班转让,南沙,东涌,临街门面?1层,大同村,200.0,1300.0,0.22,"""村庄""",113.40103113796917,22.897643880889289,113.40744448960587,22.903979942488055
店铺位置处于丰田生活区人流量集中的地方，店铺位转角处。,南沙,金洲,社区底商?1层,板头五街,100.0,8000.0,2.67,"""道路""",113.55782533417318,22.796620142583916,113.5643491261407,22.802483737263889
捡漏捡漏地铁口奶茶小吃店转让,南沙,金洲,商业街店铺?2层,广丰路,76.0,8400.0,3.68,"""道路""",113.54556040972729,22.7940970025678,113.55203869190774,22.8001742772034
十字路口转角三门面 汉堡店转让 适合便利店餐饮,南沙,金洲,临街门面?1层,德约翰披萨汉堡,55.0,7500.0,4.55,"""餐饮""",113.42113180171489,23.133221428340005,113.42758140385463,23.1393698686117
4号线地铁口小区临街旺铺 广告店转让可空转 无限制,南沙,黄阁,临街门面?1层,卓源广告,45.0,4850.0,3.59,"""NoClass""",113.51375491502097,22.84064154487333,113.52020666476506,22.84696739023662
可做商铺仓库办公楼出租,南沙,南沙,商业街店铺?1层,英贤路,500.0,7500.0,0.5,"""道路""",113.55783135282009,22.712472237105425,113.5643779634878,22.7183403159395
广州南沙美容院诚邀美甲美睫项目进驻,南沙,金洲,商业街店铺?1层,氧颜美学,100.0,5000.0,1.67,"""休闲娱乐""",113.26855299394562,23.200129016790073,113.27501242659547,23.20641305430969
金洲地铁口写字楼底商餐饮旺铺，可堂食可外卖，有管道天然气气,南沙,金洲,写字楼配套,中海联南沙国贸中心,45.0,4100.0,3.04,"""NoClass""",113.55188004914742,22.800924083537063,113.55838772015992,22.80689079431574
临街旺铺双门面，实用60方，全新装修，,南沙,黄阁,商业街店铺,叠翠峰,60.0,6000.0,3.33,"""地产小区""",113.52734322314372,22.80297651016544,113.53378285192356,22.80929283749368
公寓整栋转让，总共24个房间，1楼有接待,南沙,东涌,其他?2层,家美公寓,1800.0,7000.0,0.13,"""宾馆""",113.27251002971578,22.987193024571107,113.27893909449263,22.993505580225059
因需要照顾孩子，急转，转让费面议,南沙,金洲,临街门面,亿裕街,49.0,6000.0,4.08,"""道路""",113.55584987052683,22.80699440603893,113.56237752321928,22.8128930943463
急转！近南沙金洲地铁站！可空转,南沙,金洲,社区底商,越秀国际总部广场,115.0,8000.0,2.32,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
临街旺铺，路边，公路好宽阔,南沙,榄核,临街门面?1层,万安工业园,100.0,1300.0,0.43,"""工业园区""",113.35387566820507,22.883034368292834,113.36040866708997,22.888776479942377
【出租】南沙东涌镇厂房 28元/m2/起,南沙,东涌,其他?1层,吉祥东路2号,100.0,2790.0,0.93,"""门址""",113.46185863792953,22.8906970259366,113.46840739263034,22.896354298268006
花店转让，门口可外摆可停车，有独立卫生间、有小阁楼杂物间,南沙,金洲,社区底商,金苑横街33号,25.0,1500.0,2.0,"""门址""",113.55616095372484,22.8002934874564,113.56268293948799,22.806185548951217
免佣，0转让费，可做餐饮，培训，健身房,南沙,进港大道,商业街店铺?2层,南沙美食休闲广场,630.0,3.5,1.85,"""休闲娱乐""",113.53519558109548,22.792282664784297,113.54164001914366,22.798519482592174
南沙金洲步行街商铺，一年半经营时间，临街人流大，有稳定客户和,南沙,金洲,商业街店铺,痘医生科学祛痘祛斑(皮肤管理)连锁(金洲步行街店),107.0,8500.0,2.65,"""休闲娱乐""",113.55471602931252,22.80714873629248,113.56123992282707,22.81306690811723
出租南沙旧镇中心市场百货中心 超市,南沙,金洲,购物百货中心?2层,旧镇中心市场,3441.69,6.0,0.58,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
一楼，可以外摆。临近观光电梯,南沙,进港大道,写字楼配套?1层,盈港国际,330.0,1.8,1.82,"""地产小区""",113.58864341146325,22.803804319288337,113.59520881545895,22.809498638084024
有多家平方的商铺招租，全新个人直租，周围有稳定客流,南沙,进港大道,写字楼配套?2层,南沙明珠花园,7000.0,2.0,0.1,"""地产小区""",113.56675233500617,22.803205388777589,113.57330821177988,22.808944075210179
花店转让，门口可外摆可停车，有独立卫生间、有小阁楼杂物间,南沙,金洲,社区底商?1层,金苑横街33号,25.0,1500.0,2.0,"""门址""",113.55616095372484,22.8002934874564,113.56268293948799,22.806185548951217
有厨房，有卫生间，中介勿扰,南沙,南沙湾,临街门面,江南路,100.0,1.2,4.0,"""道路""",113.58022844477077,22.755315070148546,113.58678261187125,22.7609715302165
房主一手房源招租非中介,南沙,金洲,商业街店铺?1层,南沙金湾步行街停车场入口,16.0,1500.0,3.13,"""NoClass""",113.29293174785066,23.220392794184478,113.29937705138137,23.226657609703346
转让南沙东涌商业街服装店，不可餐饮,南沙,东涌,商业街店铺?1层,培贤东路16号,70.0,7600.0,3.62,"""门址""",113.46757644232919,22.889697870422137,113.47412017555617,22.895379948745349
南沙东涌临街门面出租,南沙,东涌,临街门面?1层,广东省广州市越秀区吉祥路79号,40.0,1500.0,1.25,"""门址""",113.27142900886543,23.13533647285972,113.27784763965996,23.14163879108258
附近两间公寓人流大，居民稳定,南沙,南沙,商业街店铺,新辉公寓,40.0,1300.0,1.08,"""地产小区""",113.39274903066156,22.787749045851787,113.39917380236288,22.794062642272097
金洲裕兴花园8号楼东南角（双门面）,南沙,金洲,商业街店铺?1层,裕兴花园-8号楼,30.0,6500.0,7.22,"""地产小区""",113.55546081441058,22.80809953334974,113.56198818195553,22.814005069929899
个人出租一楼85元每平方2000方，二楼38元每平方,南沙,东涌,商业街店铺?1层,大同村综合市场楼,2000.0,510.0,85.0,"""NoClass""",113.40189297227517,22.895579995972999,113.40830584852653,22.901914741436007
人商铺出租可做汽修美容饭店，二楼可做住宿，娱乐棋牌游戏室,南沙,东涌,商业街店铺?1层,大同综合市场,100.0,8500.0,2.83,"""NoClass""",113.40189297227517,22.895579995972999,113.40830584852653,22.901914741436007
文具店转让 周边有小学 中学 三所幼儿园 工业区 配套成熟,南沙,南沙,其他,东涌镇,30.0,2500.0,2.78,"""乡镇""",113.46164806308076,22.889606598360275,113.46819687500296,22.895263525643164
附近商圈成熟，发展前景好，因另有其他行业做无心照料忍痛低转,南沙,大岗,商业街店铺,振兴路,95.0,6500.0,2.28,"""道路""",113.168269131253,23.47022480859213,113.17469522683357,23.47653091297214
南沙大岗附近一楼150平适合物流快递仓储,南沙,大岗,商业街店铺?1层,大岗镇,150.0,2565.0,0.57,"""乡镇""",113.40516675687464,22.811250541419818,113.41161170530853,22.81758057420435
南沙东升中心主道边一楼150平出租 有现成装修,南沙,东升,商业街店铺?1层,东升路,150.0,2295.0,0.51,"""道路""",113.24128582850476,23.354494853065075,113.24780321926295,23.3603423888737
滨海御城小区干洗店，金州地铁口附近，回老家转让！,南沙,南沙,社区底商?1-2层,越秀滨海御城,45.0,2500.0,1.85,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
临街商铺两百平 可分开转,南沙,金洲,临街门面?1层,南沙明珠花园,208.0,1.4,2.24,"""地产小区""",113.56675233500617,22.803205388777589,113.57330821177988,22.808944075210179
转让南沙大岗临街门面的棋牌会所,南沙,大岗,临街门面?1层,棋啡coffee,200.0,6500.0,1.08,"""餐饮""",113.4041736801337,22.80703346751755,113.41061394456757,22.8133670081182
业主直租-南沙湾星河荣誉商铺可明火越早租越便宜先行启动区内,南沙,南沙湾,临街门面?1层,领南星河荣誉,45.0,3577.5,2.65,"""地产小区""",113.6043149798935,22.775872968813049,113.61081632979716,22.781769264508335
新开3个月，设备新，分店转让，带技术，设备，产品,南沙,金洲,写字楼配套,越秀国际总部广场,64.0,2300.0,1.2,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
由于本人有其他发展，特转租出去,南沙,金洲,社区底商?1层,广隆苑-1栋,53.0,1.0,6.29,"""楼号""",113.54702213245266,22.787090151987749,113.55349924833107,22.7931405880645
S111广珠东线国道旁商铺,南沙,大岗,临街门面?1层,广州伟明金属加工机械有限公司,220.0,5000.0,0.76,"""NoClass""",113.43762208578667,22.80410066022519,113.44415284714911,22.809969260854286
两层商铺，前面正对艺术学院，背靠一海里楼盘，右面在建学校,南沙,南沙,社区底商,中盈·一海里,92.25,2800.0,1.01,"""地产小区""",113.57146502537108,22.75856904144103,113.57801039438083,22.764258540186117
临街商铺，位置显眼，交通停车方便,南沙,万顷沙,临街门面,珠江西一路,139.0,8500.0,2.04,"""道路""",113.54754494625928,22.703203363912658,113.55405459810189,22.709250707422286
个人转让临街旺铺带车位,南沙,金洲,商业街店铺?1层,九湖驾校(板头直营店),50.0,2600.0,1.73,"""教育""",113.55695712189807,22.79612121563282,113.56347753153338,22.801999050538066
位临南沙大道辅道，交通方便,南沙,东涌,商业街店铺?1层,太南路,127.2,4300.0,1.13,"""道路""",113.40699121536481,22.89112518560221,113.41340752089697,22.89743891485684
正在营业中的煲仔饭店,南沙,南沙,临街门面?1层,风岗二巷,75.0,1850.0,0.82,"""道路""",113.5530728488742,22.79422202788328,113.559577961544,22.80016628134255
广州南沙万达中电竞公寓转让,南沙,金洲,商业街店铺?7层,广州漫城电竞公寓,650.0,1.6,0.82,"""宾馆""",113.53920103553262,22.80038402462282,113.54566478158744,22.806566600263684
出租大学食堂档口摊位,南沙,大岗,档口摊位?2层,广东省科技干部学院,2800.0,1.2,0.14,"""教育""",113.3697733401321,23.15013992581912,113.37626449113628,23.156133914199779
分店多管理不过来急转让,南沙,南沙湾,商业街店铺,明记食品旧镇店,160.0,2.2,4.58,"""餐饮""",113.22913085665327,23.475808790663387,113.23567896553192,23.48150420062143
铺面高6m ，已做整层隔层，面对大路，大门正对车站,南沙,金洲,商业街店铺?1层,日丰管(环市大道中店),108.0,8100.0,2.5,"""道路""",113.53913878296079,22.784815818884924,113.54558797309602,22.790996442465994
个人转非中介带货转让，即接手,南沙,黄阁,社区底商,南沙境界美宜佳,38.0,3500.0,3.07,"""地产小区""",113.53263639852895,22.818877068287443,113.53909876237369,22.825149086406147
位于金洲地铁口及高档小区门口，当前会员400多名，客流量大,南沙,金洲,临街门面?1层,中元泰康,115.0,4770.0,1.38,"""医疗""",113.54755599541706,22.795135767007726,113.55404232778118,22.80117824768122
南沙万顷沙临街铺位转让（可做各行业）,南沙,万顷沙,商业街店铺?1层,珠江西二路,90.0,4900.0,1.81,"""道路""",113.54700057312042,22.701405892344494,113.5535075808406,22.707462700980824
南沙大型小区小吃牛杂店转让,南沙,进港大道,商业街店铺?1层,南沙悠方天地,28.0,3800.0,4.52,"""购物""",113.52619743446611,22.805049063445833,113.53263771299236,22.81137289684099
位于小区主出入口旁，双门面，可分租，整租,南沙,南沙湾,社区底商?1层,中交蓝色海湾-西门,116.0,1.86,5.33,"""地产小区""",113.61633799066563,22.775301988439879,113.6227968710578,22.781409256069645
小区出人口客流旺营销部楼上光线充足，小区出入口，租金实惠,南沙,榄核,商业街店铺?2层,凯德新玥-A区,86.0,3500.0,1.36,"""地产小区""",113.35075782944206,22.836082241677518,113.35733437365579,22.841798475569104
早餐段经营权招租，有意向赶紧联系,南沙,金洲,档口摊位?1层,阳光城丽景湾,58.0,1500.0,0.86,"""地产小区""",113.55028127467232,22.82518766659142,113.55680127171097,22.831186466872827
整栋房子转让，可做临时房，日租房，长租房,南沙,东涌,商业街店铺,广州南沙区东涌镇太石工业区,1000.0,1.0,0.33,"""工业园区""",113.40846704148666,22.895538047101608,113.41488620858485,22.901841589113518
超市大门口地段好，流量大,南沙,南沙,商业街店铺,诚惠百货(南沙店),28.0,3300.0,3.93,"""购物""",113.56878385291633,22.76020253795994,113.57532360710593,22.76591549176123
社区底商，首层门面。,南沙,进港大道,临街门面,东瓜宇大街/珠电路(路口),80.0,2300.0,0.96,"""道路""",113.56601392787722,22.807973854621204,113.57257276079696,22.813722097243283
3门面140方转让转让费8万,南沙,东涌,商业街店铺,简太路,140.0,1.88,4.48,"""道路""",113.40959046235708,22.89480602053733,113.41601126978249,22.901100413946865
有7200押金可做大路旁边。早餐，中餐，晚餐，夜宵,南沙,进港大道,商业街店铺,金沙大酒店,55.0,3600.0,2.18,"""宾馆""",113.21516067885836,23.15763099522463,113.22172550867136,23.163301698983696
