标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
成熟高端住宅出入口新出铺位招各类社区配套 手快有手慢无,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,60,9000,5,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
白云区景泰直街商业地段临街旺铺出租,白云,广园路,临街门面,景泰直街,49.5,1.7,11.45,"""道路""",113.2760731,23.16808565,113.2825131,23.17441997
远景路临街旺铺 配套齐全 新春超长免租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),132.82,5.98,15,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
远景路临街旺铺 新春招租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),63.84,3.83,20,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
京溪商圈住宅多消费力高 临街有房产证 招口腔诊所医美美容养生,白云,梅花园,临街门面?1层,恒大御府怡新路商铺,228,2.66,3.89,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
冷饮，烧烤，小吃福地需求高,白云,黄石,临街门面?1层,锦辉大厦,30,6500,7.22,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
白云区 新市主接口位置商铺 人流必经之地中午晚上饭点都是爆满,白云,新市,商业街店铺?1层,新市新街商铺,80,2.13,8.86,"""道路""",113.2656509,23.1973059,113.2721182,23.20355794
白云地铁口2935方招服装展厅 电影院 羽毛球馆 网球馆,白云,罗冲围,商业街店铺?1层,鹅掌坦海棠居鹅掌坦后街商铺,2935,29.35,3.33,"""地产小区""",113.2393406,23.16296205,113.2458805,23.16878276
华业云谷里美食美容休闲街 临近地铁 大型住宅商务办公区,白云,白云大道北,商业街店铺?1-2层,华业云谷白云大道商铺,100,8500,2.83,"""道路""",113.3048442,23.2445115,113.3113068,23.2505983
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,安华汇,120,1,2.78,"""购物""",113.3030901,23.22314792,113.3095623,23.22926757
东平地铁口超市建材餐饮网吧商铺,白云,东平,商业街店铺?1层,广立方轻创空间-广州市白云区,600,2.99,1.66,"""NoClass""",113.2864771,23.2418689,113.2928935,23.24818574
时代芳华里（白云） 物业直租 商业街首层旺铺 年轻客群,白云,黄石,商业街店铺?1-3层,国际单位(商业),417.97,3.55,2.83,"""商务大厦""",113.2713129,23.21595565,113.2777545,23.22226176
311平临街旺铺招租 新春超长免租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),311.4,7.79,8.33,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
转让白云嘉禾望岗金铂天地教培机构,白云,嘉禾望岗,其他?3层,嘉禾金铂天地,1300,7.5,1.92,"""购物""",113.2875841,23.24517926,113.2940009,23.25148879
一手房源，做便利店，马路边，有停车位，十年难得空一次,白云,龙归,商业街店铺?1层,龙升农贸市场(南岭工业区南路),145,1.8,4.14,"""道路""",113.308451,23.27378199,113.314939,23.27980824
远景路酒吧 奶茶 烤肉 甜品小店物业直租,白云,机场路,商业街店铺?1层,时代远景大韩城(商业),82.61,1.49,6,"""地产小区""",113.25972,23.17816515,113.266202,23.18433397
【急转】地铁口旺铺美甲店带客转让,白云,江夏,临街门面?1层,肯德基(江夏北二路店),45,4000,2.96,"""餐饮""",113.2758289,23.22164873,113.2822592,23.22798014
白云区景泰直街商业地段临街旺铺出租,白云,广园路,临街门面,景泰直街,49.5,1.7,11.45,"""道路""",113.2760731,23.16808565,113.2825131,23.17441997
旺铺出租∥东旺食品国际批发市场，双铺出租啦！年底低价出租~,白云,罗冲围,档口摊位,东旺食品综合批发市场,120,1.72,4.78,"""NoClass""",113.2298957,23.17621441,113.2364708,23.18192232
电商直播示范基地，北非摩洛哥风格，诚招泰式按摩，花艺等,白云,嘉禾望岗,购物百货中心?1层,T28OAK橡树院(商业),100,1,3.33,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
业主直租 京溪新晋艺术 临街铺露天花园5米层高,白云,梅花园,临街门面,VLAB翌方181(商业),314,3.77,4,"""工业园区""",113.335241,23.18081003,113.3418258,23.18648408
永泰地铁口，200方，门头大气，诚招日本料理，网红打卡餐厅,白云,永泰,写字楼配套?1层,嘉禾望岗站地铁(商业),200,2,3.33,"""地产小区""",113.2953486,23.24315829,113.3017819,23.24939043
永泰商圈！ 临街200平方旺铺，带装修，诚招清吧，酒馆等,白云,永泰,商业街店铺?1层,永泰-地铁站-广州市白云区,200,1.6,2.67,"""商圈""",113.3093204,23.23165204,113.3158067,23.23766183
前庭后院，98方，可分割，免租超长，年前价格优惠,白云,永泰,写字楼配套?1层,T28OAK橡树院(商业),98,8330,2.83,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
近多个大型社区丨地铁口（680方一6800方）招健身美容棋牌,白云,石井,临街门面?1层,智汇未来社区(商业),880,2.46,0.93,"""地产小区""",113.2252652,23.23033699,113.2318222,23.23600807
白云永泰地铁300米，诚招便利店，猪脚，奶茶，寿司等轻食行业,白云,广州大道北,社区底商?1层,量子创造空间(商业),80,8000,3.33,"""NoClass""",113.288666,23.24674414,113.295084,23.25304565
白云新市主街口位置。人流必经之地。店铺形象优！,白云,新市,商业街店铺?1层,机场路-道路-广州市白云区,90,2.15,7.97,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
成熟高端住宅商圈招生鲜超市 艺术培训 各类社区配套,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,515,5.6,3.62,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
精装修600平办公室出租  配套齐全 商业氛围好,白云,黄石,写字楼配套?4层,嘉禾创意产业园(商业),600,3,1.67,"""工业园区""",113.286268,23.23123303,113.2926912,23.23755252
鹅掌坦0距离 商场7字位 十几米展示面 品牌直营合适,白云,罗冲围,商业街店铺?1层,百德商业广场,100,4.5,15,"""购物""",113.2415384,23.162126,113.2480704,23.16798081
庆丰博越广场50至1000方临街商铺，适宜各类商业大型停车场,白云,鸦岗,商业街店铺?3层,博越广场(商业),50,3000,2,"""NoClass""",113.2072446,23.23660013,113.2137844,23.24233041
白云新市汇侨新城中大型餐饮店低价转让！周边商业街 居民人流大,白云,黄石,商业街店铺?1层,汇侨新城-广州市白云区,286,3.63,4.23,"""地产小区""",113.263811,23.20454801,113.2702791,23.21077577
免收中介费，黄石东路二楼，棋牌瑜伽工作室,白云,黄石,临街门面?2层,黄石花园商铺,750,157.5,70,"""地产小区""",113.2735119,23.2108726,113.2799553,23.21719484
地铁站旁 精装修 住宅密集 适合美容美发采耳推拿，瑜伽，健身,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,100,1.38,4.6,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
转让爱客炸鸡汉堡店，村口位置，上下班必经之路，人气旺,白云,永泰,临街门面?1层,永泰地铁站-B2口,20,7000,11.67,"""区县""",118.9384307,25.87278726,118.9448744,25.87898779
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,永泰1823创意园(商业),60,5000,2.78,"""商务大厦""",113.310315,23.22207072,113.3168141,23.22806467
豪装临街商铺 人流密集 配套完善 冷饮行业 速电约看,白云,黄石,社区底商?1层,锦辉大厦,22,5000,7.58,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
白云区 新市主接口位置商铺 人流必经之地中午晚上饭点都是爆满,白云,新市,商业街店铺?1层,新市新街商铺,80,2.13,8.86,"""道路""",113.2656509,23.1973059,113.2721182,23.20355794
白云新市酒店装修6400方有餐厅 招酒店 公寓 月子中心,白云,新市,临街门面?1层,百信广场(商业),6400,38.4,2,"""商圈""",113.2679085,23.20037316,113.2743692,23.20665054
白云 嘉禾望岗 美容美发美甲店 整店转让 商业街店铺D,白云,嘉禾望岗,商业街店铺?2层,极广之城-广州市白云区,60,6300,3.5,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
白云区黄石西路 湘菜馆餐饮店转让 人流量大消费高位置好,白云,黄石,临街门面?1层,湘厨本味(黄石西路店)-广州市白云区,268,2.9,3.61,"""餐饮""",113.2521455,23.21486992,113.2586429,23.22090908
白云酒馆转让，周边住宅密社区购物广场多人流量大，日营4000,白云,太和,写字楼配套?1层,凯云商务中心-广州市白云区,260,1.8,2.31,"""商务大厦""",113.306891,23.234653,113.3133661,23.2407053
白云区博越广场鸦岗亭岗石井100平米商铺,白云,鸦岗,商业街店铺?1层,博越广场(商业),100,6000,2,"""NoClass""",113.2072446,23.23660013,113.2137844,23.24233041
低成本创业好项目 六七万开店 生意稳定 日营业6000,白云,钟落潭,档口摊位?1-3层,仲恺农业工程学院(白云校区)-广州市白云区,26,3200,4.1,"""教育""",113.4515491,23.37933336,113.4580951,23.38502222
白云区烧腊店转让！人流量大，小区住宅多，年轻人居多消费能力强,白云,永泰,临街门面?1层,磨刀南街-道路-广州市白云区,41,6500,5.28,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
地铁旁学校多住宅密集 适合美术，音乐，体培，美容美发，健身等,白云,京溪,社区底商?1层,恒大御府怡新路商铺,200,2.6,4.33,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
白云永泰地铁A出口永乐荟招商,白云,永泰,商业街店铺?3层,SCC永乐荟,300,5,5.56,"""NoClass""",113.580371,23.5631999,113.5869568,23.56886236
京溪路临街适合茶饮小吃旺铺，人流旺地位置优越品牌！,白云,京溪,商业街店铺?1层,广信春兰花园商铺,50,2,13.33,"""地产小区""",113.3332851,23.19008723,113.33987,23.19577204
白云太和便利店低价急转！可外摆人营业额可观 老客多人流大,白云,太和,临街门面?1层,锦邦货运市场-广州市白云区,40,2800,2.33,"""生活服务""",113.372548,23.29872305,113.379055,23.30477164
白云祥岗后街餐饮店转让！位处城中村人流主干道,白云,新市,临街门面?1层,祥岗外街/祥岗后街(路口)-广州市白云区,200,9000,1.5,"""道路""",113.2572152,23.19062713,113.2637091,23.19675647
白云白沙村养生馆转让！租金便宜，周边环绕工业区，商业街,白云,竹料,临街门面?1层,惠徳理疗馆-广州市白云区,60,1800,1,"""NoClass""",113.3767954,23.34872287,113.3832624,23.35483958
物流快递电商仓库1楼出租马路边好进车100方1000方面积,白云,新市,写字楼配套,凯升大厦(商业),800,4,1.67,"""商务大厦""",113.2743522,23.21725503,113.2807883,23.22358068
京溪南方医院地铁口 沿街拐角旺铺 适合奶茶烘焙小吃便利店卤味,白云,广州大道北,临街门面?1层,京溪南方医院地铁站(商业),35,1.7,16.19,"""医疗""",113.3360889,23.19455805,113.342676,23.20022904
安华汇对面 美容城  宵夜不夜城 临近地铁 大型写字楼社区,白云,白云大道北,商业街店铺?2层,磨溪小区十二岭路商铺,70,5000,2.38,"""NoClass""",113.3047472,23.22417155,113.311224,23.230263
白云人和大面积商铺。适合各类大餐饮。火锅，烤肉。韩餐，湘菜等,白云,人和,商业街店铺?1层,人和-地铁站-广州市白云区,160,4.5,9.38,"""乡镇""",113.3075988,23.33562447,113.3140945,23.34166801
"3公里内40万消费群体，118方,诚招泰式按摩，花艺，西餐厅",白云,永泰,写字楼配套?1层,T28OAK橡树院(商业),118,1.18,3.33,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
大源临街商铺，325平方只剩一间，可做餐饮可分租有外摆位！！,白云,太和,临街门面?1层,大源里,325,4.88,5,"""购物""",113.355774,23.25106412,113.3623017,23.25682958
大源不夜城，有电影院，海鲜酒楼，棋牌沐足KTV，肯德基集装箱,白云,京溪,临街门面?1层,大源里,200,2.9,4.83,"""购物""",113.355774,23.25106412,113.3623017,23.25682958
白云区 嘉禾望岗商业街商业氛围浓厚适合各种粉面快餐套餐饭等,白云,嘉禾望岗,商业街店铺?1层,富安广场,70,1.3,6.19,"""地产小区""",113.2875575,23.24448519,113.2939743,23.25079494
犀牛角村口位置抵有装修拎包就能干人流来往必经之路会发财,白云,沙太北,商业街店铺?1层,犀牛角商铺,40,8000,6.67,"""地产小区""",113.345614,23.19838804,113.3521984,23.20406621
大源不夜城，有电影院，海鲜酒楼，棋牌沐足KTV，肯德基集装箱,白云,同和,商业街店铺?1层,大源里,200,2.9,4.83,"""购物""",113.355774,23.25106412,113.3623017,23.25682958
北非摩洛哥园区，118方，物业直租，有诚意可致电,白云,永泰,商业街店铺?1层,T28OAK橡树院(商业),100,1,3.33,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
业主直租 京溪新晋艺术 临街铺露天花园5米层高,白云,梅花园,临街门面,VLAB翌方181(商业),314,3.77,4,"""工业园区""",113.335241,23.18081003,113.3418258,23.18648408
物流快递电商仓库1楼出租马路边好进车100方1000方面积,白云,新市,写字楼配套,凯升大厦(商业),800,4,1.67,"""商务大厦""",113.2743522,23.21725503,113.2807883,23.22358068
京溪南方医院地铁口 沿街拐角旺铺 适合奶茶烘焙小吃便利店卤味,白云,广州大道北,临街门面?1层,京溪南方医院地铁站(商业),35,1.7,16.19,"""医疗""",113.3360889,23.19455805,113.342676,23.20022904
安华汇对面 美容城  宵夜不夜城 临近地铁 大型写字楼社区,白云,白云大道北,商业街店铺?2层,磨溪小区十二岭路商铺,70,5000,2.38,"""NoClass""",113.3047472,23.22417155,113.311224,23.230263
30平米档口  食堂的餐厅位置 日均5000 速联系,白云,东平,档口摊位?1层,广州理工学院-广州市白云区,20,7000,11.67,"""教育""",113.46344,23.265073,113.4699949,23.27073528
白云石井转角位餐饮店转让！位于人流主干道，有大量人流,白云,石井,临街门面?1层,冠南路-道路-广州市白云区,80,1.06,4.42,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
华业云谷6000方美容馆 宵夜街不夜城 大型写字楼社区,白云,白云大道北,商业街店铺?1-2层,华业云谷白云大道商铺,130,1,2.56,"""道路""",113.3048442,23.2445115,113.3113068,23.2505983
一线临街铺近地铁 各大高端住宅办公围绕 招私人会所及各类诊所,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,460,5.8,4.2,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
神铺嘉禾望岗金箔天地商场加创意园加城中村配套！全天人流不断,白云,嘉禾望岗,临街门面?1层,T湾区创工场(商业),80,1.27,5.29,"""NoClass""",113.405187,23.10146795,113.4116187,23.10779538
白云江村超大商业广场开始招商一楼临街底铺可明火适合各业态,白云,江高镇,档口摊位?1层,江村市场购物中心,20,4000,6.67,"""购物""",113.2420795,23.28112297,113.2486088,23.28698632
岭南新世界商圈临街旺铺，3000月，租户家里有事免费转让,白云,白云大道北,商业街店铺?1层,百世商业广场-广州市白云区,19.57,3000,5.11,"""商务大厦""",113.3112943,23.2410184,113.3177815,23.2469918
白云区京溪路宜银行超市服装口腔美容美发宠物店等等,白云,京溪,社区底商?1层,京溪路商铺,400,12,10,"""道路""",113.3357578,23.18776154,113.3423451,23.19343386
8号钱地铁口一楼商铺，物业直租，租金可面谈，面积大小可选,白云,同德围,商业街店铺,凯升国际广场,130,1.43,3.67,"""商务大厦""",113.2414462,23.17540565,113.2479905,23.18126143
电梯口旁简装办公户型 适合初创型 公司 178平，交通便利,白云,黄石,写字楼配套?4层,锦辉大厦,176,9152,1.73,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
同德地铁口一楼铺面，面积可分割，可明火可外摆，停车方便,白云,同德围,商业街店铺,凯升国际广场,300,3.3,3.67,"""商务大厦""",113.2414462,23.17540565,113.2479905,23.18126143
地铁旁学校住宅密集 带装修适合美容美发，养生推拿等百态皆宜,白云,梅花园,社区底商?1层,恒大御府怡新路商铺,80,1.38,5.75,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
永泰地铁口，200方，门头大气，诚招日本料理，网红打卡餐厅,白云,永泰,写字楼配套?1层,嘉禾望岗站地铁(商业),200,2,3.33,"""地产小区""",113.2953486,23.24315829,113.3017819,23.24939043
物业直租 精装修粤菜馆 设备齐全 接手即可营业营业,白云,黄石,写字楼配套?1-2层,锦辉大厦,1032,5.16,1.67,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
白云 嘉禾望岗 其他其他 整店转让 其他D,白云,均禾,临街门面?1层,广州加石南路城市精品公寓-广州市白云区,1000,2,0.67,"""宾馆""",113.2779517,23.2514023,113.2843628,23.25773617
南方医院大门口旺铺宜药房便利店水果店连锁餐饮人流大可做全天,白云,广州大道北,其他?1层,京溪南方医院地铁站(商业),160,9.4,19.58,"""医疗""",113.3360889,23.19455805,113.342676,23.20022904
京溪南方医院牌坊口周边住宅配套，超大外摆,白云,广州大道北,临街门面?1层,京溪南方医院地铁站(商业),80,2.21,9.19,"""医疗""",113.3360889,23.19455805,113.342676,23.20022904
独栋商业招商，带有私家车库及天台,白云,沙太北,商业街店铺?1-2层,金湖·翡翠山-广州市白云区,2500,8.7,1.16,"""地产小区""",113.3487657,23.20199462,113.355344,23.20769301
白云区麒麟岗中路餐饮店转让！附近都是住宅区，人流量大,白云,京溪,临街门面?1层,嘉隆公寓麒麟岗中路商铺,90,5000,1.85,"""地产小区""",113.3431459,23.1892653,113.3497342,23.19493388
前庭后院，98方，赠送外摆，超长免租期，物业直租，无进场费用,白云,永泰,写字楼配套?1层,T28OAK橡树院(商业),98,8330,2.83,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
永泰商圈！ 临街200平方旺铺，带装修，诚招清吧，酒馆等,白云,永泰,商业街店铺?1层,永泰-地铁站-广州市白云区,200,1.6,2.67,"""商圈""",113.3093204,23.23165204,113.3158067,23.23766183
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,金碧雅苑商铺,75,6500,2.89,"""地产小区""",113.2982984,23.22917788,113.3047493,23.23537149
酒吧一条街适合开便利店,白云,黄石,写字楼配套?1层,黄石-广州市白云区,46,5500,3.99,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
白云区300平舞蹈艺术培训机构转让 实用面积大 周边小区环绕,白云,白云大道北,商业街店铺?1层,（芙蓉）兴盛便利店(怡新路店)-广州市白云区,300,3.5,3.89,"""购物""",113.3246589,23.18473709,113.3312261,23.19050488
时代芳华里（白云） 物业直租 商业街首层旺铺 年轻客群,白云,黄石,商业街店铺?1-3层,国际单位(商业),417.97,3.55,2.83,"""商务大厦""",113.2713129,23.21595565,113.2777545,23.22226176
地铁旁中高端楼盘密集 临街旺铺适合美容美发，采耳推拿，诊所等,白云,京溪,临街门面?1层,恒大御府怡新路商铺,125,1.6,4.27,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
1450方任意分割精装修现状交付,白云,黄石,写字楼配套?4层,锦辉大厦,1450,7.25,1.67,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
赠送100方外摆区，物业直租，诚招面食馆，茶饮，等轻餐饮,白云,永泰,写字楼配套?1层,T28OAK橡树院(商业),98,8330,2.83,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
大源淘宝村临街旺铺，电影院ktv棋牌沐足写字楼必经之路，临街,白云,太和,临街门面?1层,大源里,161,1.4,2.9,"""购物""",113.355774,23.25106412,113.3623017,23.25682958
北非摩洛哥风格，98方，地铁口，物业直租，招美发店,白云,永泰,写字楼配套?1层,T28OAK橡树院(商业),98,7840,2.67,"""NoClass""",113.3087833,23.15500003,113.3152738,23.16102063
永泰地铁口，200方，门头大气，诚招日本料理，网红打卡餐厅,白云,永泰,写字楼配套?1层,嘉禾望岗站地铁(商业),200,2,3.33,"""地产小区""",113.2953486,23.24315829,113.3017819,23.24939043
永泰商圈！ 临街200平方旺铺，带装修，诚招清吧，酒馆等,白云,永泰,商业街店铺?1层,永泰-地铁站-广州市白云区,200,1.6,2.67,"""商圈""",113.3093204,23.23165204,113.3158067,23.23766183
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,金碧雅苑商铺,75,6500,2.89,"""地产小区""",113.2982984,23.22917788,113.3047493,23.23537149
酒吧一条街适合开便利店,白云,黄石,写字楼配套?1层,黄石-广州市白云区,46,5500,3.99,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
白云区300平舞蹈艺术培训机构转让 实用面积大 周边小区环绕,白云,白云大道北,商业街店铺?1层,（芙蓉）兴盛便利店(怡新路店)-广州市白云区,300,3.5,3.89,"""购物""",113.3246589,23.18473709,113.3312261,23.19050488
时代芳华里（白云） 物业直租 商业街首层旺铺 年轻客群,白云,黄石,商业街店铺?1-3层,国际单位(商业),417.97,3.55,2.83,"""商务大厦""",113.2713129,23.21595565,113.2777545,23.22226176
地铁旁中高端楼盘密集 临街旺铺适合美容美发，采耳推拿，诊所等,白云,京溪,临街门面?1层,恒大御府怡新路商铺,125,1.6,4.27,"""地产小区""",113.3348196,23.18209345,113.3414045,23.18776955
1450方任意分割精装修现状交付,白云,黄石,写字楼配套?4层,锦辉大厦,1450,7.25,1.67,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,白云小区东门街商铺,85,7000,2.75,"""地产小区""",113.2788484,23.17946987,113.2852957,23.1858125
招租白云永泰商业街一楼临街商铺，靠近永泰地铁口，客流量大,白云,永泰,临街门面?1层,永泰B2口-广州市白云区,80,1.6,6.67,"""商圈""",113.3093204,23.23165204,113.3158067,23.23766183
豪华装修临街主干道，沐足，棋牌，水疗，网吧美容福地,白云,黄石,写字楼配套?4层,锦辉大厦,1032,160.99,52,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
石井庆丰博越广场沐足休闲娱乐,白云,鸦岗,其他?2层,博越广场(商业),2900,6,0.69,"""NoClass""",113.2072446,23.23660013,113.2137844,23.24233041
白云 石井 美容美发美发店 整店转让 商业街店铺D,白云,石井,商业街店铺?1-2层,石厦路288号-,240,2.11,2.93,"""门址""",113.259088,23.22283499,113.2655532,23.22899004
白云江夏汽车4S店平行进口车二手车店招租,白云,江夏,写字楼配套?1层,尚龙大厦(商业),1888,22.66,4,"""商务大厦""",113.2882953,23.21543944,113.2947368,23.2217487
安华汇对面 华业云谷美食宵夜不夜城 美容城大型办公社区,白云,白云大道北,商业街店铺?1-2层,黄边美食广场,81,7000,2.88,"""餐饮""",113.2946412,23.22830621,113.3010828,23.23454933
白云太和镇荃鸿广场美容院转让！证件齐全，接手可营业,白云,太和,临街门面?1层,荃鸿广场-广州市白云区,96,9000,3.13,"""购物""",113.366114,23.29678098,113.3726432,23.30271536
岭南新世界商圈现成茶楼免转让费出租，商圈人流量大，周边无同,白云,白云大道北,商业街店铺?4层,百世商业广场-广州市白云区,692.3,3.12,1.5,"""商务大厦""",113.3112943,23.2410184,113.3177815,23.2469918
近多个大型社区丨地铁口（680方一6800方）招健身美容棋牌,白云,石井,临街门面?1层,智汇未来社区(商业),880,2.46,0.93,"""地产小区""",113.2252652,23.23033699,113.2318222,23.23600807
超大使用率 无入场费 特价创意园区临街餐饮店铺  精装62平,白云,黄石,商业街店铺?1层,国际单位(商业),62.95,7000,3.71,"""商务大厦""",113.2713129,23.21595565,113.2777545,23.22226176
精装修办公室出租  配套齐全 商业氛围好，600平可分租,白云,黄石,写字楼配套?4层,锦辉大厦,600,3,1.67,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
白云石井奶茶店低价转让！附带旁边一房一厅40平 商圈好人流多,白云,石井,临街门面?1层,Tai柠-广州市白云区,60,3000,1.67,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
白云大道北东平临街商铺招租 87平米 租金8700元,白云,东平,临街门面?1层,26创意园(商业),87,8700,3.33,"""NoClass""",113.4023039,23.00694561,113.4087161,23.01327941
白云永泰地铁300米，诚招便利店，猪脚，奶茶，寿司等轻食行业,白云,广州大道北,社区底商?1层,量子创造空间(商业),80,8000,3.33,"""NoClass""",113.288666,23.24674414,113.295084,23.25304565
业主直租 京溪VLAB新晋商办园区面积100至3000平方米,白云,梅花园,写字楼配套,VLAB翌方181(商业),195,2.15,3.67,"""工业园区""",113.335241,23.18081003,113.3418258,23.18648408
白云新市主街口位置。人流必经之地。店铺形象优！,白云,新市,商业街店铺?1层,机场路-道路-广州市白云区,90,2.15,7.97,"""区县""",113.2794331,23.16431683,113.285868,23.17065742
白云石井夏茅旺铺转让！对面就是广场，地理位置优越,白云,石井,临街门面?1层,金铂广场(夏茅店)-广州市白云区,48,4500,3.13,"""购物""",113.2593312,23.22309611,113.2657953,23.22925494
冷饮，烧烤，小吃福地需求高,白云,黄石,临街门面?1层,锦辉大厦,30,6500,7.22,"""商务大厦""",113.2755635,23.22549574,113.2819902,23.2318253
嘉禾金铂一线临街靓铺品牌形象好！,白云,嘉禾望岗,购物百货中心?1层,嘉禾金铂天地-广州市白云区,134,6.5,16.17,"""购物""",113.2875841,23.24517926,113.2940009,23.25148879
临街旺铺 汽车美容 600方一手业主 无转让费 可做各行各业,白云,人和,临街门面?1层,京东京车会(骏车会人和店)-广州市白云区,700,3.15,1.5,"""购物""",113.3079689,23.33994659,113.3144616,23.34598269
白云人和大面积商铺。适合各类大餐饮。火锅，烤肉。韩餐，湘菜等,白云,人和,商业街店铺?1层,人和-地铁站-广州市白云区,160,4.5,9.38,"""乡镇""",113.3075988,23.33562447,113.3140945,23.34166801
华业云谷美容餐饮宵夜街区 邻近地铁 大型社区,白云,永泰,商业街店铺?1-2层,金碧雅苑商铺,90,8500,3.15,"""地产小区""",113.2982984,23.22917788,113.3047493,23.23537149
