标题,行政区,地标,具体位置,地址,建筑面积,万/月,元每平方米每天,等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
黄埔精装修公寓式酒店出租 可做员工宿舍 楼下有医院和职业学校,黄埔,开发西区,写字楼配套?13-19层,东兴楼(黄埔)商铺,5500,16.5,1,"""地产小区""",113.5386166,23.0706819,113.5450973,23.07687709
科学城黄陂地铁口上盖150平方精装修商铺,黄埔,科学城,其他?1层,放大镜创意社区(商业),150.27,2,4.44,"""商务大厦""",113.4405484,23.19370035,113.4471041,23.19952573
黄埔区成熟商圈 带装修双门面旺铺适合艺培教培网咖特色餐饮等,黄埔,科学城,购物百货中心?1层,东方汇广场,220,3,4.55,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
苏元带露台铺 招粤菜茶楼 潮菜 西餐日料 教育 医美 银行,黄埔,萝岗,商业街店铺?2层,凯得科学会广场(商业),1000,12,4,"""休闲娱乐""",113.4819109,23.16669286,113.4884462,23.17255432
先抢为赚！头位出财就是你！科学城 品秀星樾靓铺,黄埔,香雪,社区底商?1层,品秀星樾开创大道商铺,50,1,6.67,"""地产小区""",113.4725249,23.17567803,113.4790944,23.18141116
出租 创业小区商铺 人流稳定,黄埔,香雪,商业街店铺?1层,时代春树里开源大道商铺,20,6000,10,"""地产小区""",113.5172156,23.16608925,113.523653,23.17242744
转让！旺铺带货整体转让转角位人流大多年老店有固定客源全新装修,黄埔,科学城,商业街店铺?1-2层,金峰城,115,2.18,6.31,"""地产小区""",113.4594159,23.18429667,113.4660041,23.18996027
人流很旺，四通八达，厂家扶持，提供门店，客源来往人流较为稳定,黄埔,鱼珠,社区底商?1层,上海市黄浦区福建中路225号-4楼,20,750,1.25,"""门址""",121.4876001,31.24010678,121.4941915,31.24582077
黄埔萝岗万达养生馆转让！商业街二楼，设备齐全，有稳定客源,黄埔,萝岗,临街门面?1层,香雪商业街-广州市黄埔区,202,1.2,1.98,"""餐饮""",113.4966804,23.18063493,113.5031738,23.18675515
超市出入口铺位招租，人流必经之路，免入场费错过再等3年,黄埔,科学城,购物百货中心,东方汇广场,25,7904,10.54,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
成熟商场中庭开放式铺位 显眼 手表化妆品 奶茶蛋糕,黄埔,科学城,购物百货中心?1层,东方汇广场,58,1.16,6.67,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
出租中小学门口旺铺位置非常旺可做零食小吃,黄埔,香雪,商业街店铺?1层,品秀星樾开创大道商铺,40,7200,6,"""地产小区""",113.4725249,23.17567803,113.4790944,23.18141116
黄埔万人园区云升科技园档口招租 整个园区只有两个档口招租,黄埔,科学城,临街门面?1层,合景科汇金谷汇金谷一街商铺,30,1.5,16.67,"""工业园区""",113.442008,23.17322002,113.4485614,23.17902242
黄埔甲级写字楼云升科技园旺铺转租 适合快餐 称重蒸菜茶餐厅等,黄埔,科学城,写字楼配套?1层,云升科学园(商业),250,5.1,6.8,"""工业园区""",113.450955,23.16618103,113.4575231,23.17187941
零售百货轻餐饮成熟商场中庭位置招租免入场费,黄埔,科学城,购物百货中心?1层,东方汇广场,35,1.1,10.48,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
香雪地铁口100米商业街临街旺铺 全天人流 品牌聚集,黄埔,萝岗,临街门面?1层,保利香雪商务大厦(商业),50,1.12,7.45,"""NoClass""",113.4844013,23.18339887,113.4909398,23.18930426
成熟商场美食层后一席餐饮位 免入场费 手快有手慢无,黄埔,科学城,购物百货中心?3层,东方汇广场,200,2.7,4.5,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
黄埔云升科学园万人园区 先到先得 写字楼集中 消费高,黄埔,科学城,商业街店铺?1层,云升科学园(商业),80,1.5,6.25,"""工业园区""",113.450955,23.16618103,113.4575231,23.17187941
广州黄埔宵夜大排档整转！店内装修完好周边大型工业电子厂人流大,黄埔,永和开发区,临街门面?1层,桑田四路-道路-广州市黄埔区,60,3500,1.94,"""道路""",113.5771008,23.19224397,113.5836891,23.19791113
出租新福港鼎峰商业街二楼可租部分做教育办公 托儿所 艺术培训,黄埔,萝岗,商业街店铺?1层,新福港鼎峰香雪大道商铺,718,5,2.32,"""生活服务""",113.491635,23.18676718,113.4981484,23.19280024
鱼珠临街独门独院商铺！可明火带院子，可做主题餐厅,黄埔,鱼珠,写字楼配套?1层,鱼珠智谷E-Park(商业),1500,6.5,1.44,"""地产小区""",113.44287,23.10959215,113.4494038,23.11537786
黄埔科学城  东荟城主出入口临街靓铺,黄埔,香雪,社区底商?1层,万科东荟城万荟二街商铺,52,1.8,11.54,"""停车场/停车区""",113.5078504,23.16570117,113.5143003,23.17197626
罗兰国际二期出入口 40方底商仅租9000,黄埔,香雪,社区底商?1层,保利罗兰国际商铺,40,9000,7.5,"""地产小区""",113.4963487,23.17835402,113.5028421,23.18446841
科学城 罗兰国际临街商铺 500方带装修仅3万,黄埔,香雪,临街门面?4层,保利罗兰国际商铺,500,3,2,"""地产小区""",113.4963487,23.17835402,113.5028421,23.18446841
科学城商圈旺铺招租，免入场费，适合品质餐馆零售百货等,黄埔,科学城,购物百货中心?1层,东方汇广场,75.4,1.5,6.63,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
黄埔培训机构因搬迁转让！装修精美 两层楼临近地铁站 周边客源,黄埔,萝岗,临街门面?1-2层,乐艺敏捷艺术(萝岗校区)-广州市黄埔区,288,3.37,3.9,"""教育""",113.4895144,23.19569252,113.4960349,23.20168769
保利爱特城 大型社区 临街旺铺 一线底商 入住九成 随时联系,黄埔,开发东区,写字楼配套?1层,越秀保利爱特城商铺,111,2.22,6.67,"""区县""",113.2734265,23.13526012,113.2798423,23.14157616
可整租分租 黄埔区酒店式公寓 拎包入住 配套齐全 客流稳定,黄埔,开发西区,写字楼配套?15-20层,业进大厦建设路商铺,5456,18,1.1,"""道路""",113.8446773,23.29251702,113.8512084,23.29842551
广州市黄埔区餐饮店低价转让！商业街地段 装修精美 客源稳定,黄埔,大沙地,商业街店铺?1层,林香柠手作茶室(大沙地东店)-广州市黄埔区,35,1.5,14.29,"""地产小区""",113.459644,23.112407,113.4662014,23.11806426
科学城 中央城大型社区靓铺 可明火350元方,黄埔,科学城,社区底商?1层,黄埔中央城项目部-广州市黄埔区,50,1.5,10,"""地产小区""",113.506456,23.15901499,113.5129023,23.16527321
7字位双门面旺铺招租，免进场费，适合零售百货轻餐饮等业态,黄埔,香雪,购物百货中心?1层,东方汇广场,79,1.6,6.75,"""购物""",113.451585,23.19195397,113.4581674,23.19765011
越秀保利爱特城  社区底商 人流密集 看铺提前联系,黄埔,开发东区,社区底商?1层,越秀保利爱特城商铺,90,1.98,7.33,"""区县""",113.2734265,23.13526012,113.2798423,23.14157616
大沙地地铁C口！沿街商铺物业直租奶茶麻辣烫牛杂糕点炸串小吃等,黄埔,文冲,临街门面?1层,大沙地东路商铺,30,1.5,16.67,"""道路""",113.4793256,23.10893359,113.4858536,23.11475127
黄埔区绿地中央广场，几万人的办公园区，消费单价高,黄埔,科学城,写字楼配套?1层,广州绿地中央广场,60,1.5,8.33,"""NoClass""",113.4388855,23.16873337,113.4454253,23.17458245
