托育店铺,地址,GCJ02经度,GCJ02纬度,等级
FAMIC放我家托育·早教（金域蓝湾园店）,环洲二路倚水一巷3号金域蓝湾,113.2251189,23.16819787,"""地产小区"""
全优加早教·托育（白云区高尔夫校区）,翰云路287号二楼B区（方圆实验小学对面）,113.2833493,23.2107781,"""门址"""
FAMIC放我家托育·早教（金域蓝湾园店）,环洲二路倚水一巷3号金域蓝湾,113.2251189,23.16819787,"""地产小区"""
全优加早教·托育（白云区高尔夫校区）,翰云路287号二楼B区（方圆实验小学对面）,113.2833493,23.2107781,"""门址"""
自然树儿童之家（祈福园区）,钟村街白云路11号长华创意谷2栋10号,113.3803827,22.96464905,"""门址"""
糖弥儿国际托育中心,东风东路860号锦城教育城二楼204号（浦发银行二楼）,113.3243655,23.14296945,"""教育"""
FAMIC放我家社区托育早教（富力东山园）,新天地街1号、3号、216房,113.3275817,23.13867993,"""NoClass"""
全优加早教·托育（洛溪校）,洛浦街96号恒天商务大厦3楼（洛溪大桥）,113.323037,23.04972349,"""商务大厦"""
全优加早教·托育（金升校区）,逢源街道逢源路128-1号2层,113.2524037,23.13230373,"""门址"""
集德爱米国际托育园,邮电新村中三街9号,113.3021863,23.14731634,"""教育"""
英翰托育早教中心（桥南校区）,桥南街福德路790-804号,113.3753042,22.93414387,"""教育"""
未来童学·托育中心,瑞兴街41号时代花生二期时代物业旁（梅花园地铁站D出口300米）,113.3338337,23.17758959,"""门址"""
全优加早教·托育（华南碧桂园校区）,南村镇番禺大道北华南碧桂园碧华坊碧华商业2街1-8号之二楼A区商铺,113.3636033,23.03261451,"""地产小区"""
飞屋牧童托育园（黄埔佳纷天地店）,"凯盛大街1号佳纷天地广场L201,L202铺",113.5618416,23.11561118,"""NoClass"""
乐鲸灵婴幼儿托育·早教中心（广州番禺雅居乐花园校区）,南村镇观景路194号景业大厦二层（招商银行旁）,113.3745139,23.02201829,"""商务大厦"""
蒂芭卜托育中心（东荟城店）,瑞和路万科东荟城北门二街76号,113.513314,23.17442869,"""教育"""
全优加早教·托育（珠江新城旗舰中心）,华就路寺右公馆西座2楼（近地铁5号线珠江新城B出口）,113.3299908,23.12797703,"""地产小区"""
汉美克医育教三语托育园（黄花岗园区）,科苑东路117-118（地铁黄花岗B出口100m）,113.3109958,23.15264642,"""NoClass"""
爱悦堡托育早教中心,东环街道东艺路金园广场,113.3565435,22.98744091,"""教育"""
YOUBETTER优贝乐托育·早教（海珠千禧校区）,新港西路1号银华大厦首层,113.2965988,23.10837953,"""教育"""
欢乐多蒙台梭利早教托育（赤岗校区）,江海街道新港中路468号大院77栋78栋首层（地铁8号线赤岗站C1出口200m）,113.3503687,23.10592234,"""教育"""
童学园国际婴幼中心,广州市天河区员村南街26号乐湾创意园3楼,113.3684386,23.12436392,"""教育"""
全优加早教·托育（港澳中心校）,东风东路699号一层,113.3072049,23.14360206,"""教育"""
左近儿童托育园,中山八路新虹街38-48号1090-1096房,113.2480639,23.13945462,"""教育"""
英翰国际儿童中心（荔园新天地园店）,沙湾街西环路1502号荔园新天地5栋,113.3587318,22.93114027,"""购物"""
全优加早教·托育（燕岗校区）,工业大道中路364号2楼,113.28129,23.08668896,"""地产小区"""
广州阅景托育园（二沙岛园）,晴波路与渔唱街交叉口东北60米,113.3178886,23.12196441,"""旅游景点"""
卡比园托育中心（天河北中心店）,天河北路561号JC金田广场三楼,113.3470503,23.15573215,"""商务大厦"""
U萌国际婴童学苑（金沙洲校区）,彩滨北路江悦湾S1栋整层,113.2265911,23.18106635,"""NoClass"""
YOUBETTER优贝乐托育·早教（大石校区）,广州番禺区建华路西街辛鸿大厦3楼,113.3286163,23.03744256,"""商务大厦"""
助宝优早教托育,南岸路荟文四街2号二楼（荔港南湾B栋二楼）,113.2422707,23.14707608,"""地产小区"""
全优加早教·托育（天润校区）,天润路37号润华大厦2楼201室,113.3480222,23.15505487,"""NoClass"""
YOUBETTER优贝乐托育·早教（桥南校区）,德贤路617号-623号,113.3693439,22.93153962,"""门址"""
全优加早教·托育（金沙洲校区）,彩滨中路倚水街2号101-104、106-110、201-203房（地铁沙贝站）,113.2209237,23.16786127,"""购物"""
全优加早教·托育（金沙洲校区）,彩滨中路倚水街2号101-104、106-110、201-203房（地铁沙贝站）,113.2209237,23.16786127,"""购物"""
YOUBETTER优贝乐托育·早教（从化校区）,沿江南路187号,113.6032462,23.54653167,"""门址"""
BetterKids贝好儿童托育（凤凰城店）,新塘镇凤凰城广场步行南街2号,113.6330558,23.13186655,"""乡镇"""
乐鲸灵婴幼儿托育·早教中心（珠江帝景校区）,艺洲路825号（农业银行旁）,113.340514,23.11821944,"""NoClass"""
金睿家国际托育早教中心（珠江新城店）,海业路3号,113.3560166,23.13004076,"""购物"""
YOUBETTER优贝乐托育·早教（华景新城校区）,景邮路8号115房（华景新城）,113.3750194,23.15212516,"""地产小区"""
乐鲸灵婴幼儿托育·早教中心（琶洲新村校区）,海珠区琶洲新村商业广场1栋A栋2楼,113.3956664,23.11286405,"""地产小区"""
种子学园托育中心,兴泰路38号,113.3920238,22.9448864,"""教育"""
博悦1-3岁婴幼儿托育中心,钟福广场南2号（弘雅幼儿园旁）,113.3359929,22.97850427,"""教育"""
贝贝家音乐托育中心,白云大道南1033号东方明珠花苑南门,113.4285712,23.68188749,"""门址"""
笑笑日托萌学园 · 托育（海珠区滨江东店）,滨江东路893号丽景湾商铺三楼,113.3237684,23.11481078,"""门址"""
全优加早教·托育（四季花园校区）,花地大道中246号（1号线地铁坑口A出口500米）,113.2455107,23.08364542,"""地产小区"""
纽诺托育·早教（番禺广场园）,亚运大道178号,113.4077508,22.9480589,"""门址"""
自然树儿童之家托育?早教（花都豪利花园校区）,新华镇新雅街道镜湖大道18号-7,113.2633175,23.37271908,"""地产小区"""
爱婴乐园·早教·托育园,政通路25号自编8号,113.3986434,23.01728502,"""门址"""
YOUBETTER优贝乐托育·早教（自在城校区）,南村镇番禺大道北644-650号（自在城市花园临街商铺）,113.3629428,22.99996701,"""地产小区"""
承希托育（黄埔佳兆业城市广场店）,佳兆业城市广场盛凯一街6-12号独栋（力宝格健身房旁边）,113.3137606,23.09487403,"""购物"""
森林宝宝国际日托早教中心（东景校区）,中山大道中128号东景花园C栋0201,113.4114056,23.13644811,"""地产小区"""
U萌国际婴童学苑（杨箕店）,东泰路82号2楼A区,113.3226512,23.13946944,"""商圈"""
方圆·培乐思托育中心（高尔夫园区）,黄石路118号高尔夫花园,113.2832596,23.21453413,"""地产小区"""
U萌国际婴童学苑（天河北校区）,天河北路421号首层自编120号（远晖商厦后门）,113.3429124,23.15391959,"""教育"""
蘑菇松鼠早教·托育中心（生态园校区）,钟村街道钟韵路锦绣生态园水云居5座会所一楼,113.3194918,22.98041305,"""商务大厦"""
新爱婴早教·托育·游泳（中海名都店）,滨江街道纺织路名都一街1号3号206房（中海名都中门旁）,113.2893965,23.1232679,"""地产小区"""
全优加早教·托育（华景新城校）,华景北路187、189号二层201铺自编03商铺,113.379858,23.14631467,"""地产小区"""
圣莎国际公学·托育（滨江中大元帅店）,滨江中路东沙街36号丽海雅居2层（华润万家隔壁）,113.294814,23.12150782,"""地产小区"""
FAMIC放我家托育·早教（东方文德园）,文德路东方文德广场,113.2846639,23.1362003,"""购物"""
七田阳光早教中心,城景大街1号201房,113.270097,23.21103942,"""教育"""
AD KIDS CLUB恐龙园早教托育中心,亚运城天峰一区6栋110商铺,113.4856996,22.95732682,"""地产小区"""
七田阳光早教 托育（汇侨中心）,新市街汇侨新城南八区汇桥中路1号208,113.2702791,23.21077577,"""地产小区"""
小马快跑（天河环贸天地早教中心）,林和街道天河北路ICC环贸天地L3-306铺,113.3308602,23.14287105,"""地产小区"""
乐育邦早教托育中心,广卫路金科大厦407（公园前地铁站出入口步行280米）,113.2793327,23.13966414,"""商务大厦"""
FAMIC国际早教托育中心·小鲸堡园,黄花岗淘金东路138号御龙庭A栋（网球场旁）,113.3083286,23.15493256,"""地产小区"""
全优加早教·托育（金海岸校）,大龙街金海岸花园售楼中心旁（海岸公园）,113.4193902,22.94552929,"""教育"""
加蒙特幼儿园,汽车城大道330号,113.6066507,23.15000807,"""教育"""
全优加早教·托育（华发四季校）,观云街1号103铺（岭南新世界五号门50米）,113.2606588,23.12203785,"""乡镇"""
方圆·培乐思托育中心（大新路园区）,大新路280号大新大厦3楼,113.2701164,23.12835388,"""地产小区"""
COMBABY新爱婴早教·托育（黄埔知识城绿地店）,凤湖二路商业街S2栋2楼整层（中新绿地缤纷城外围靠河）,113.5580925,23.34286249,"""政府机构"""
新爱婴国际早教中心（亚运城店）,石楼镇兴亚三路32-46号亚运城国际商业街B区三层,113.4969019,22.95675976,"""教育"""
蔚莳托育中心,大林边一路73、75、785号广园东东方名都沿街商铺,113.6059393,23.13920516,"""教育"""
童景托育（珠光御景壹号园区）,珠光·御景壹号华誉三街2号（拾翠洲幼儿园斜对面）,113.3040132,23.23560631,"""门址"""
飞屋牧童托育园（海珠滨江店）,滨江东路912号柏丽广场2层,113.3257012,23.1148318,"""购物"""
全优加早教·托育（广百新一城校区）,宝业路8号三楼L3-02号铺（广百商场左侧三层）,113.2789894,23.10687008,"""NoClass"""
无艺三语日托早教Arti School（高尔夫园区）,黄石路天云街35号高尔夫花园东区方圆东方学馆一楼,113.2830915,23.21458593,"""教育"""
汉美贝儿医育教三语托育园,龙福路2号,113.2723227,23.11563215,"""教育"""
昂谷资优蒙氏国际托育早教,集俊街74号（岭南新世界优悦园K3栋2楼201号）,113.307725,23.24670733,"""教育"""
蒙·森谷国际托育中心,藤业一路58号（金沙小学南校区正对面）,113.2152809,23.15824935,"""教育"""
森侨国际托育中心,尖彭路408号,113.2966641,23.23798296,"""门址"""
小宇宙婴幼儿成长中心,开拓路锦绣香江花园布查特国际公寓1层102,113.2671883,23.11734692,"""教育"""
Kids 'R' Kids南沙凯斯园,天翰街7号-101房,113.5916893,22.81086828,"""门址"""
方圆·培乐思托育中心（竹丝岗园区）,竹丝岗四马路2号,113.3068372,23.1388051,"""教育"""
小象祥枫保育园,科翔路128号173-174室（地铁6号线金峰地铁站B出口，金峰城一楼）,113.4660041,23.18996027,"""地产小区"""
飞屋牧童托育园（番禺沙湾怡景苑店）,沙湾街中良路14号怡景苑,113.3682506,22.92190581,"""地产小区"""
全优加早教·托育（凤凰城校）,济广高速凤凰城星荟商业街1-2号首层（五号转盘旁）,113.5964929,23.16946168,"""教育"""
威斯康国际托育中心,陶育路82号暨南商务中心首层,113.3578533,23.14044258,"""NoClass"""
班尼特国际早教·托育（嘉骏苑校区）,白云路89号201,113.296693,23.13224246,"""教育"""
森林宝宝国际日托早教中心（龙口西校区）,石牌街道龙口西路71号贤人阁1楼103室,113.3482389,23.14808739,"""教育"""
范莎教育?英语阅读?托管（珠江新城店）,珠江新城华强路3号富力盈力南塔401,113.3304632,23.13062307,"""地产小区"""
爱乐祺国际托育早教中心,黄埔东路澳葡街115号201,113.4720207,23.11164261,"""教育"""
自然树儿童之家（白云玫瑰园校区）,白云区黄边北路时代玫瑰园一期大门直对会所二楼,113.2999376,23.23662745,"""教育"""
全优贝贝早教托育（沁音校区）,淘金北71号恒华阁首层（城启恒华阁1楼）,113.2996394,23.15552404,"""地产小区"""
FAMIC放我家托育·早教（凯粤湾店）,石围塘街道逸彩路29号凯粤湾C6栋105房,113.2272129,23.12732863,"""NoClass"""
童心教育早教·托育（东湖洲中心）,傍雁路东湖洲花园3区1号楼首层,113.4302356,22.9383928,"""地产小区"""
牛油果童园早教·托育·体能游泳中心,兴泰东路98号金海岸花园,113.4223963,22.94499608,"""购物"""
巧思国际幼儿保育中心,荔湾区荔湾路97号动感小西关8号楼201室,113.2550177,23.1414727,"""教育"""
乐鲸灵婴幼儿托育早教中心（罗马家园校区）,南洲路88号盛典东街2号罗马家园会所三楼,113.3326016,23.07009836,"""地产小区"""
棒吉拉早教托育中心（天河中心）,桃园西路635号,113.4246981,23.13043531,"""门址"""
七彩点点托育·早教中心（广钢店）,白鹤洞街道鹤洞路中海花湾B区锦御二街9号207-212号,113.2630174,23.09081947,"""商务大厦"""
山今萌托,石围塘街道龙湾路2号广发商业大厦首层110铺,113.2397142,23.11383122,"""NoClass"""
蒙學儿童之家·蒙特梭利AMI（长隆店）,南村镇番禺大道北383号海印星玥1栋103,113.3623547,23.01195551,"""教育"""
金宝贝早教（天河北中心）,体育西路191号中石化大厦佳兆业广场二楼208,113.3339176,23.15123938,"""教育"""
时代美育中心·小树丛托育（广州玫瑰园校区）,汇贤街1-261号单85号商铺,113.2956776,23.23896344,"""地产小区"""
蒙奶奶国际儿童之家·AMI蒙氏托育早教,黄埔大道中海景花园A栋L层,113.3797992,23.13526054,"""地产小区"""
澳学童心圆托育园（金峰园区）,开创大道3330号之102号,113.4602749,23.19778964,"""门址"""
新爱婴早教托育（奥园广场店）,"福德路281号奥园广场乐活街3层（乐活街Halo Cafe旁,三号观光梯三楼）",113.3727385,22.93574938,"""餐饮"""
全优加早教·托育（颐景华苑校）,南洲北路2号201商铺（东晓南地铁站A出口旁边）,113.3079179,23.08354805,"""教育"""
蒂芭卜托育中心（龙津园）,龙津东路欧家园39号龙锦大厦斜对面启乐名德隔壁,113.2658194,23.13422885,"""地产小区"""
自然树蒙特梭利婴童学院（锦尚蓬莱校区）,花都区荔枝基路锦尚蓬莱北门一楼商铺（紧邻马鞍山公园南侧）,113.2493657,23.4036883,"""NoClass"""
乐鲸灵婴幼儿托育·早教中心（广雅灏湖校区）,国泰路雅居乐花园邻居36号自编1号,113.3743861,23.02200878,"""教育"""
贝贝伴国际早教?托育中心,鹤洞路中海花湾壹号锦佳华庭C6栋2层204-212号,113.2547223,23.08156592,"""地产小区"""
金宝贝早教（天河奥体中心）,奥体南路12号,113.4278949,23.14305013,"""教育"""
FAMIC放我家托育·早教（绿地城店）,龙湖街道凤湖中路绿地城凤语湾6栋206房,113.5605654,23.33213661,"""地产小区"""
非凡保姆·婴幼学苑·早教·托育·亲子·托婴（翠城花园店）,翠城北街3号海悦广场D座3012铺（农商银行旁）,113.2831759,23.09629664,"""商务大厦"""
安安托儿所（西增路）,西增路裕农里52号,113.2530551,23.15544757,"""教育"""
笑笑日托萌学园·托育（海珠区海印店）,天园路37号笑笑教育自由心岸校区,113.2992685,23.12574102,"""购物"""
新爱婴早教中心（广钢校区）,锦御三街1号202、203,113.2527326,23.08078791,"""教育"""
贝德幼儿教育·托育·早教,天河北路626号301房自编之A08,113.3549885,23.15237857,"""门址"""
全优加早教·托育（合生广场校）,叠景路223-227合生广场北区三楼304、308号（新滘综合市场）,113.3309465,23.10015576,"""购物"""
翰贝诺国际幼儿学院·早教·托育,洛浦街洛溪新城北环路芳华会所1楼4-6号,113.3179118,23.05238557,"""休闲娱乐"""
汉美克医育教三语托育园（东晓园区）,东晓南路锦逸街2号101铺锦绣星城F2栋1楼（华润万家前行）,113.3035554,23.08579398,"""地产小区"""
全优加早教·托育（金沙御苑校区）,中良路22号二楼（金沙御苑小区）,113.3674079,22.92276967,"""地产小区"""
巧多狮IB托育（华景园店）,棠下街道景邮路12号理想地公寓108铺,113.376913,23.15086074,"""地产小区"""
爱尔福蒙特梭利儿童之家托育（高雅湾园区）,滨江东路318号高雅湾门面2楼,113.3112656,23.11473976,"""地产小区"""
优倍思托育早教中心,集益街集贤庄,113.31239,23.24515419,"""教育"""
全优加早教·托育（天河富力院士庭校）,东莞庄路30-34、38号三层301自编02,113.3502978,23.1634951,"""地产小区"""
Little Light 立童园托育·早教,郭村路华发荔湾荟10栋108铺,113.222954,23.11852824,"""教育"""
中大育儿321教育机构（白云校区）,景泰街道飞翔公园a出口500m金钟横路333号2层,113.2813326,23.17995195,"""门址"""
FAMIC放我家托育·早教（逸景翠园店）,逸景翠园西区华园居,113.3193821,23.09595223,"""地产小区"""
粤麓书院?国学儿童发展中心,大石街南大路2号百世家居F2层,113.3494927,23.02163681,"""教育"""
七彩点点托育·早教中心（金山谷园）,东艺路129号101,113.3576376,22.9891221,"""教育"""
乐斯母婴关爱托育·早教中心（珠江新城雅居乐中心校区）,华夏路26号雅居乐中心二层202房,113.3349528,23.13587543,"""商务大厦"""
全优加早教·托育（隽悦园校）,天府路161号205单元,113.3746282,23.14279887,"""地产小区"""
英莱恩国际早教中心,石楼镇乐羊羊路55号天峯F2商铺5梯104-106号,113.5070557,22.9600019,"""教育"""
FAMIC放我家托育·早教（保利天悦托育园）,保利天悦,113.2904247,23.14052165,"""教育"""
小院儿学园·0-3岁托育,富怡东路罗家村段鑫润花园九座101房,113.3991824,22.95919146,"""地产小区"""
红黄蓝亲子园（白云店）,广州大道北怡新路139号301号铺,113.3384171,23.18805177,"""休闲娱乐"""
智托帮托育早教（桥南时代柏林校区）,桥南街德贤路633号,113.3706544,22.93158373,"""地产小区"""
子悦童萌国际托育中心（珠江新城店）,花城大道20号202远洋大厦裙楼2楼（珠江新城地铁站出口）,113.331061,23.13057904,"""商务大厦"""
全优加早教·托育（喜盈雅境分校）,桥南街道福景路716号（工商银行旁）,113.3740764,22.93020492,"""教育"""
广州天河区龙口西小学托管班（龙口西分店）,龙口西路穗园东街龙口西小学西门旁A幢505室,113.3497482,23.15005685,"""教育"""
七彩点点托育·早教中心（石溪园）,工业大道南726号鸣翠花园四期二楼（石溪地铁站B出口麦当劳楼上）,113.2992026,23.07958544,"""地产小区"""
伦顿国际托育园,江怡路258号(博雅国际教育集团A区2楼)),113.3066757,23.11245318,"""教育"""
贝安斯国际早教托育中心,中盛路13号（沥滘地铁站F口步行430米),113.3329749,23.07002429,"""教育"""
纽诺托育·早教（天河北园店）,天润路御晖苑2楼,113.347276,23.15538098,"""地产小区"""
水德之家婴幼儿社区托育中心,中山大道天朗明居西南门4号岗西侧商铺,113.4045938,23.13849953,"""地产小区"""
澳学拔萃国际早教中心,开源大道中海誉城北苑478号二层（靠近中国银行）,113.5381765,23.1757393,"""地产小区"""
全优加早教·托育（光大花园校区）,榕景路61号榕景市场3楼全层（革新路公交站200米）,113.2694232,23.09960301,"""地产小区"""
比泡乐儿日托中心（逸景店）,凤阳街道逸景南路378号二楼（逸景翠园中区南门口侧旁）,113.319488,23.09540353,"""地产小区"""
贝托芬托育,南村镇兴南大道421号202房,113.3745332,23.0277955,"""教育"""
全优加早教·托育（嘉仕花园校区）,海珠区江怡路240号 二层自编202 房,113.3072469,23.11289874,"""门址"""
蓝蝶国际托育滨江园,新港街道滨江东路562号蓝色康园正门,113.315659,23.11467129,"""教育"""
贝贝熊·晋级托管学堂（穗园校区）,龙口东路361号103室,113.3534751,23.15597993,"""教育"""
七田贝比托育早教中心,黄边北路时代玫瑰园二期汇贤街35号,113.2967222,23.23638986,"""地产小区"""
优贝乐托育早教（同创誉城店）,广州番禺区国泰路28号,113.3905073,23.02091585,"""商务大厦"""
贝贝伴国际早教·托育（黄埔中心）,保利中誉广场副座3楼（大沙东地铁站A口步行180米),113.4709809,23.11853548,"""商务大厦"""
全优加早教·托育（剑桥郡校区）,南村镇雅居乐剑桥郡瀚澜一街48号,113.3993874,23.0321613,"""门址"""
飞屋牧童托育园（翡翠绿洲森林半岛店）,翡翠绿洲·森林半岛6号,113.5735851,23.1474464,"""地产小区"""
Care for kidz卡尔国际托育园,悦景路48号（KFC肯德基后门斜对面）,113.4436623,23.15384592,"""教育"""
多米国际儿童教育,内环路荔港南湾会所2-3楼,113.2424408,23.14691172,"""教育"""
爱尔贝国际托育·早教中心（骏景花园店）,绿茵街5号之三113铺,113.4026304,23.13598655,"""教育"""
Kids Home2摩根之家托育园,广州市广州大道北怡新路15号怡新幼儿园旁,113.3340023,23.18793747,"""购物"""
万锦国际儿童中心,天贵路108-151号,113.2359421,23.42174245,"""教育"""
心子宝贝（叠彩园校区）,叠景路叠彩园会所,113.3240513,23.09812223,"""购物"""
唐尼翰博保育园星汇园,汇岭街1号101越秀星汇金沙2期东北门旁,113.2798423,23.14157616,"""区县"""
自然树儿童之家（龙洞校区）,元岗街道龙洞保利林海山庄商铺自编1-4号自然树儿童之家,113.3721337,23.20171276,"""地产小区"""
思脉特国际早教育托（同创汇校区）,宝岗大道183号103号铺,113.275357,23.11411949,"""门址"""
无艺三语日托早教Arti School（光大校区）,沙渡路17号光大花园三期东门旁（GF名车俱乐部楼上）,113.2685738,23.09573688,"""NoClass"""
美恩国际儿童教育（君汇天地店）,海珠区市二宫君汇天地二楼（上电梯左侧）,113.2841216,23.11724222,"""教育"""
乐点熊早教托育中心,绿茵街9号东御苑102号,113.4013193,23.13497666,"""NoClass"""
金睿家国际早教托育中心（雄峰城店）,105国道雄峰城B4馆3层3007号,113.2829777,23.23062286,"""道路"""
思苏卡尔早教·托育（金山谷校区）,东艺路36号203房（金山谷领仕花园西门二楼）,113.3576041,22.98132936,"""地产小区"""
蒂芭卜蒙台梭利早教日托中心（天河店）,天河棠下智汇ParkB栋二层,113.3885332,23.15258088,"""教育"""
JJB机智堡早托中心（金湖校区）,沙太北路金湖花园,113.3583059,23.21690481,"""地产小区"""
凡恩格林森林幼儿园,迎龙路1233号,113.3750678,23.22887877,"""教育"""
奥司日托,花地大道北壹号文化广场二楼2110,113.2473097,23.10707711,"""NoClass"""
贝贝伴国际早教·托育（黄埔中心）,保利中誉广场副座3楼（大沙东地铁站A口步行180米),113.4709809,23.11853548,"""商务大厦"""
全优加早教·托育（剑桥郡校区）,南村镇雅居乐剑桥郡瀚澜一街48号,113.3993874,23.0321613,"""门址"""
飞屋牧童托育园（翡翠绿洲森林半岛店）,翡翠绿洲·森林半岛6号,113.5735851,23.1474464,"""地产小区"""
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2403689,23.15483995,"""教育"""
比尔盖托育,东漖街道浣南东街11-1号（坑口地铁站C口步行210米）,113.2456652,23.09243719,"""教育"""
飞屋牧童托育园（中海康城店）,中海康城凤信街5栋1层,113.4161178,23.14647313,"""地产小区"""
FAMIC放我家托育·早教（东方熹园店）,东方新世界·熹园,113.3711866,23.14111584,"""地产小区"""
艾思乐早教托育中心,同德围横滘新南一路5号2楼,113.252696,23.18344579,"""教育"""
FAMIC放我家托育·早教(剑桥郡园),雅居乐剑桥郡,113.374502,23.02273036,"""地产小区"""
飞屋牧童托育园（黄埔万科金色梦想店）,云埔五路万科金色梦想G13栋金梅街1号103号,113.544627,23.17505513,"""楼号"""
昌华国际托育园,新都里2号首层,113.2491162,23.13573875,"""教育"""
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2359552,23.11071379,"""道路"""
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4148781,23.1476895,"""门址"""
乐之贝国际托育中心,棠景街汇景路93号,113.2670911,23.18235406,"""教育"""
新爱婴早教（石井店）,石槎路金碧新城47栋58号（金碧小学对面）,113.2540432,23.21672004,"""教育"""
爱儿乐保育中心,工业大道中路373号之一,113.2875817,23.08598581,"""教育"""
星萌乐托育成长中心,汇彩路444号,113.4302145,23.12571112,"""门址"""
RAE SNOW 瑞雪滑雪学校(广州融创雪世界店)（RAE SNOW广州融创雪世界店）,凤凰北路68号3楼瑞雪装备库,113.2442915,23.43836647,"""生活服务"""
希蒙国际托育中心,环市东路476号金东环大厦二楼,113.3187517,23.14622092,"""教育"""
全优加早教·托育（平沙富力城校）,均禾街平沙孖墩路7号11201室,113.2757635,23.25979984,"""地产小区"""
笑笑尚学设计实验保育园 · 托育（珠江新城店）,猎德大道46-1号,113.3475239,23.13463686,"""门址"""
贝儿倍乐早教日托中心,龙怡路89号广业植英创业园后座三楼B307,113.3556042,23.15640969,"""门址"""
熊托邦·布鲁姆国际早教托育中心,黄埔大道中148号海景中心首层,113.3680753,23.13576879,"""地产小区"""
立智树启蒙早教中心（云景花园店）,广州大道北云景花园云景路1号,113.341579,23.19731949,"""教育"""
唯斯顿蒙特梭利儿童之家雅园,番禺区雅居乐观景北街75号101号,113.3776102,23.02342327,"""门址"""
星光童乐汇早教托管中心,瑞东花园A东京栋中美新地教育城二楼,113.4784109,23.12043228,"""教育"""
